"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dgemm" 224 "local" 1 "dgemm" 0 21.175884 0.806731951882256 50
"2" "dgemm" 224 "remote" 1 "dgemm" 0 21.099238 0.970188004690276 50
"3" "dgemm" 256 "local" 1 "dgemm" 0 21.227616 0.894974762011049 50
"4" "dgemm" 256 "remote" 1 "dgemm" 0 21.227658 0.824479074891955 50
"5" "dgemm" 512 "local" 1 "dgemm" 0 22.815444 0.234862638239496 50
"6" "dgemm" 512 "remote" 1 "dgemm" 0 22.827876 0.318606202817003 50
"7" "dgemm" 224 "local" 2 "dgemm" 0 21.034434 1.00543124600992 50
"8" "dgemm" 224 "local" 2 "dgemm" 4 21.09087 0.995252361443661 50
"9" "dgemm" 224 "remote" 2 "dgemm" 0 20.964 1.25402609206979 50
"10" "dgemm" 224 "remote" 2 "dgemm" 4 21.026076 1.17861321338223 50
"11" "dgemm" 256 "local" 2 "dgemm" 0 21.162888 0.879945664519192 50
"12" "dgemm" 256 "local" 2 "dgemm" 4 21.16477 0.848528681523109 50
"13" "dgemm" 256 "remote" 2 "dgemm" 0 21.209678 0.889799527820848 50
"14" "dgemm" 256 "remote" 2 "dgemm" 4 21.191342 0.907467169269523 50
"15" "dgemm" 512 "local" 2 "dgemm" 0 22.828742 0.234729211846071 50
"16" "dgemm" 512 "local" 2 "dgemm" 4 22.815596 0.236849151993416 50
"17" "dgemm" 512 "remote" 2 "dgemm" 0 22.776296 0.342890875697699 50
"18" "dgemm" 512 "remote" 2 "dgemm" 4 22.806662 0.340655390471284 50
"19" "dgemm" 224 "local" 3 "dgemm" 0 21.206124 1.04357597369891 50
"20" "dgemm" 224 "local" 3 "dgemm" 4 21.252188 1.04287352895933 50
"21" "dgemm" 224 "local" 3 "dgemm" 8 21.179232 1.07981981422828 50
"22" "dgemm" 224 "remote" 3 "dgemm" 0 20.987364 1.25060496719934 50
"23" "dgemm" 224 "remote" 3 "dgemm" 4 20.918884 1.23149395954338 50
"24" "dgemm" 224 "remote" 3 "dgemm" 8 20.976174 1.22165122278273 50
"25" "dgemm" 256 "local" 3 "dgemm" 0 21.222262 0.809212855600668 50
"26" "dgemm" 256 "local" 3 "dgemm" 4 21.1946 0.800866692772172 50
"27" "dgemm" 256 "local" 3 "dgemm" 8 21.226492 0.786902902456127 50
"28" "dgemm" 256 "remote" 3 "dgemm" 0 21.10025 1.01664460473999 50
"29" "dgemm" 256 "remote" 3 "dgemm" 4 21.141772 1.00426204626449 50
"30" "dgemm" 256 "remote" 3 "dgemm" 8 21.13468 0.970478547429261 50
"31" "dgemm" 512 "local" 3 "dgemm" 0 22.776942 0.283864770973786 50
"32" "dgemm" 512 "local" 3 "dgemm" 4 22.749816 0.284790299766015 50
"33" "dgemm" 512 "local" 3 "dgemm" 8 22.72457 0.281942842847009 50
"34" "dgemm" 512 "remote" 3 "dgemm" 0 22.547294 0.402576084029657 50
"35" "dgemm" 512 "remote" 3 "dgemm" 4 22.565794 0.394403058320096 50
"36" "dgemm" 512 "remote" 3 "dgemm" 8 22.55702 0.37879248694142 50
"37" "dgemm" 224 "local" 4 "dgemm" 0 21.245694 1.06658549422626 50
"38" "dgemm" 224 "local" 4 "dgemm" 4 21.264946 1.06551761977215 50
"39" "dgemm" 224 "local" 4 "dgemm" 8 21.23787 1.06676894563319 50
"40" "dgemm" 224 "local" 4 "dgemm" 12 21.252842 1.07225247009675 50
"41" "dgemm" 224 "remote" 4 "dgemm" 0 20.986562 1.26604186649186 50
"42" "dgemm" 224 "remote" 4 "dgemm" 4 20.955436 1.22220064266161 50
"43" "dgemm" 224 "remote" 4 "dgemm" 8 20.957606 1.27877474511298 50
"44" "dgemm" 224 "remote" 4 "dgemm" 12 20.964192 1.25221823876101 50
