"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dpotrf" 224 "local" 1 "dpotrf" 0 8.9491938 0.549770802273278 50
"2" "dpotrf" 224 "remote" 1 "dpotrf" 0 8.9383568 0.472166669965475 50
"3" "dpotrf" 256 "local" 1 "dpotrf" 0 9.5659662 0.518003855946132 50
"4" "dpotrf" 256 "remote" 1 "dpotrf" 0 9.5963472 0.393385762553445 50
"5" "dpotrf" 512 "local" 1 "dpotrf" 0 13.17467 0.374855852703573 50
"6" "dpotrf" 512 "remote" 1 "dpotrf" 0 13.149446 0.294332351512604 50
"7" "dpotrf" 224 "local" 2 "dpotrf" 0 9.055619 0.556454800046597 50
"8" "dpotrf" 224 "local" 2 "dpotrf" 4 9.076634 0.542467129612665 50
"9" "dpotrf" 224 "remote" 2 "dpotrf" 0 8.9505854 0.450840313524441 50
"10" "dpotrf" 224 "remote" 2 "dpotrf" 4 8.9695108 0.429717414838721 50
"11" "dpotrf" 256 "local" 2 "dpotrf" 0 9.6075672 0.537156076919541 50
"12" "dpotrf" 256 "local" 2 "dpotrf" 4 9.6214738 0.53731897409833 50
"13" "dpotrf" 256 "remote" 2 "dpotrf" 0 9.5951564 0.392027616508254 50
"14" "dpotrf" 256 "remote" 2 "dpotrf" 4 9.5864084 0.437553405138628 50
"15" "dpotrf" 512 "local" 2 "dpotrf" 0 13.168904 0.433063805432306 50
"16" "dpotrf" 512 "local" 2 "dpotrf" 4 13.194586 0.415981080814883 50
"17" "dpotrf" 512 "remote" 2 "dpotrf" 0 13.223866 0.378512930580088 50
"18" "dpotrf" 512 "remote" 2 "dpotrf" 4 13.213518 0.359417278774453 50
"19" "dpotrf" 224 "local" 3 "dpotrf" 0 8.9060894 0.772756214018182 50
"20" "dpotrf" 224 "local" 3 "dpotrf" 4 8.98378 0.659640147442807 50
"21" "dpotrf" 224 "local" 3 "dpotrf" 8 8.9814308 0.646175421190227 50
"22" "dpotrf" 224 "remote" 3 "dpotrf" 0 8.8960702 0.517830684547703 50
"23" "dpotrf" 224 "remote" 3 "dpotrf" 4 8.8951584 0.523138744359896 50
"24" "dpotrf" 224 "remote" 3 "dpotrf" 8 8.8828262 0.561572943465231 50
"25" "dpotrf" 256 "local" 3 "dpotrf" 0 9.5721134 0.639086912305393 50
"26" "dpotrf" 256 "local" 3 "dpotrf" 4 9.5519568 0.649343184948091 50
"27" "dpotrf" 256 "local" 3 "dpotrf" 8 9.5599832 0.640143029318815 50
"28" "dpotrf" 256 "remote" 3 "dpotrf" 0 9.5941268 0.460696427000227 50
"29" "dpotrf" 256 "remote" 3 "dpotrf" 4 9.5593426 0.490143654468311 50
"30" "dpotrf" 256 "remote" 3 "dpotrf" 8 9.5788012 0.447130709349547 50
"31" "dpotrf" 512 "local" 3 "dpotrf" 0 13.07877 0.356572478964799 50
"32" "dpotrf" 512 "local" 3 "dpotrf" 4 13.124154 0.357436376647678 50
"33" "dpotrf" 512 "local" 3 "dpotrf" 8 13.137492 0.358115009937949 50
"34" "dpotrf" 512 "remote" 3 "dpotrf" 0 13.214814 0.352463900024397 50
"35" "dpotrf" 512 "remote" 3 "dpotrf" 4 13.190812 0.412863809456804 50
"36" "dpotrf" 512 "remote" 3 "dpotrf" 8 13.169408 0.367054855957026 50
"37" "dpotrf" 224 "local" 4 "dpotrf" 0 8.883588 0.745081665799263 50
"38" "dpotrf" 224 "local" 4 "dpotrf" 4 8.8720994 0.736808468240601 50
"39" "dpotrf" 224 "local" 4 "dpotrf" 8 8.8667346 0.733686903283571 50
"40" "dpotrf" 224 "local" 4 "dpotrf" 12 8.8803316 0.730432421630377 50
"41" "dpotrf" 224 "remote" 4 "dpotrf" 0 8.9010432 0.598844558559299 50
"42" "dpotrf" 224 "remote" 4 "dpotrf" 4 8.9253636 0.591626380256448 50
"43" "dpotrf" 224 "remote" 4 "dpotrf" 8 8.9125848 0.556102975621294 50
"44" "dpotrf" 224 "remote" 4 "dpotrf" 12 8.9351616 0.548486034560217 50
"45" "dpotrf" 256 "local" 4 "dpotrf" 0 9.634772 0.65810319685767 50
"46" "dpotrf" 256 "local" 4 "dpotrf" 4 9.5858486 0.643835297673755 50
"47" "dpotrf" 256 "local" 4 "dpotrf" 8 9.5636326 0.67144287732726 50
"48" "dpotrf" 256 "local" 4 "dpotrf" 12 9.6497454 0.653036722523414 50
"49" "dpotrf" 256 "remote" 4 "dpotrf" 0 9.581716 0.474603794458373 50
"50" "dpotrf" 256 "remote" 4 "dpotrf" 4 9.558362 0.450230803445775 50
"51" "dpotrf" 256 "remote" 4 "dpotrf" 8 9.560876 0.44680134235086 50
"52" "dpotrf" 256 "remote" 4 "dpotrf" 12 9.581717 0.414435606121661 50
"53" "dpotrf" 512 "local" 4 "dpotrf" 0 13.11763 0.361474276189799 50
"54" "dpotrf" 512 "local" 4 "dpotrf" 4 13.157028 0.370332483840879 50
"55" "dpotrf" 512 "local" 4 "dpotrf" 8 13.15358 0.363103778947169 50
"56" "dpotrf" 512 "local" 4 "dpotrf" 12 13.23972 0.36504550848532 50
"57" "dpotrf" 512 "remote" 4 "dpotrf" 0 13.21655 0.395193714963863 50
"58" "dpotrf" 512 "remote" 4 "dpotrf" 4 13.167446 0.343263289922129 50
"59" "dpotrf" 512 "remote" 4 "dpotrf" 8 13.151688 0.388779066182891 50
"60" "dpotrf" 512 "remote" 4 "dpotrf" 12 13.126094 0.334116142222847 50
"61" "dpotrf" 224 "local" 5 "dpotrf" 0 8.9184342 0.750098514436304 50
"62" "dpotrf" 224 "local" 5 "dpotrf" 4 8.9376938 0.744328332919892 50
"63" "dpotrf" 224 "local" 5 "dpotrf" 8 8.896432 0.740766776018648 50
"64" "dpotrf" 224 "local" 5 "dpotrf" 12 8.9022044 0.7467215680209 50
"65" "dpotrf" 224 "local" 5 "dpotrf" 16 8.905885 0.744052076867484 50
"66" "dpotrf" 224 "remote" 5 "dpotrf" 0 8.9013024 0.571755557625595 50
"67" "dpotrf" 224 "remote" 5 "dpotrf" 4 8.9253954 0.561105620175644 50
"68" "dpotrf" 224 "remote" 5 "dpotrf" 8 8.8804158 0.588528953086231 50
"69" "dpotrf" 224 "remote" 5 "dpotrf" 12 8.8868244 0.596108253735915 50
"70" "dpotrf" 224 "remote" 5 "dpotrf" 16 8.8915592 0.616317883877388 50
"71" "dpotrf" 256 "local" 5 "dpotrf" 0 9.4585532 0.770214322143161 50
"72" "dpotrf" 256 "local" 5 "dpotrf" 4 9.5119368 0.704500565013142 50
"73" "dpotrf" 256 "local" 5 "dpotrf" 8 9.510505 0.70411335881246 50
"74" "dpotrf" 256 "local" 5 "dpotrf" 12 9.5194608 0.706672128431133 50
"75" "dpotrf" 256 "local" 5 "dpotrf" 16 9.520446 0.706567467639525 50
"76" "dpotrf" 256 "remote" 5 "dpotrf" 0 9.522692 0.524505287154535 50
"77" "dpotrf" 256 "remote" 5 "dpotrf" 4 9.5229006 0.534008821082115 50
"78" "dpotrf" 256 "remote" 5 "dpotrf" 8 9.5214524 0.485963847418925 50
"79" "dpotrf" 256 "remote" 5 "dpotrf" 12 9.5513886 0.493950420089065 50
"80" "dpotrf" 256 "remote" 5 "dpotrf" 16 9.5518482 0.457506259440574 50
