"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dsyrk" 224 "local" 1 "dsyrk" 0 16.0110678 1.01200262686456 50
"2" "dsyrk" 224 "remote" 1 "dsyrk" 0 15.7280566 0.956062325019064 50
"3" "dsyrk" 256 "local" 1 "dsyrk" 0 16.4363902 1.10213282444557 50
"4" "dsyrk" 256 "remote" 1 "dsyrk" 0 16.354926 0.987496846351978 50
"5" "dsyrk" 512 "local" 1 "dsyrk" 0 19.658068 0.453833232627068 50
"6" "dsyrk" 512 "remote" 1 "dsyrk" 0 19.660852 0.493053643742913 50
"7" "dsyrk" 224 "local" 2 "dsyrk" 0 15.6114454 1.21510271577111 50
"8" "dsyrk" 224 "local" 2 "dsyrk" 4 15.6217956 1.21135734837322 50
"9" "dsyrk" 224 "remote" 2 "dsyrk" 0 15.6795522 1.01804479463069 50
"10" "dsyrk" 224 "remote" 2 "dsyrk" 4 15.6485314 1.01996792031989 50
"11" "dsyrk" 256 "local" 2 "dsyrk" 0 16.5317352 0.971237963565247 50
"12" "dsyrk" 256 "local" 2 "dsyrk" 4 16.550818 0.957239705481872 50
"13" "dsyrk" 256 "remote" 2 "dsyrk" 0 16.3377338 1.15974676893742 50
"14" "dsyrk" 256 "remote" 2 "dsyrk" 4 16.3447592 1.14763558322538 50
"15" "dsyrk" 512 "local" 2 "dsyrk" 0 19.669494 0.424730676926507 50
"16" "dsyrk" 512 "local" 2 "dsyrk" 4 19.658982 0.424930769722719 50
"17" "dsyrk" 512 "remote" 2 "dsyrk" 0 19.641456 0.511322388083196 50
"18" "dsyrk" 512 "remote" 2 "dsyrk" 4 19.640588 0.511347494227811 50
"19" "dsyrk" 224 "local" 3 "dsyrk" 0 15.8231904 1.15703153427289 50
"20" "dsyrk" 224 "local" 3 "dsyrk" 4 15.8660296 1.14860536146208 50
"21" "dsyrk" 224 "local" 3 "dsyrk" 8 15.8537104 1.14337559055696 50
"22" "dsyrk" 224 "remote" 3 "dsyrk" 0 15.56197 1.11291929979543 50
"23" "dsyrk" 224 "remote" 3 "dsyrk" 4 15.5829578 1.12188593516979 50
"24" "dsyrk" 224 "remote" 3 "dsyrk" 8 15.5437214 1.10877654906439 50
"25" "dsyrk" 256 "local" 3 "dsyrk" 0 16.4211992 1.01788921831734 50
"26" "dsyrk" 256 "local" 3 "dsyrk" 4 16.4060226 1.02641504682771 50
"27" "dsyrk" 256 "local" 3 "dsyrk" 8 16.3835442 1.02114486529919 50
"28" "dsyrk" 256 "remote" 3 "dsyrk" 0 16.2578238 1.1119813897813 50
"29" "dsyrk" 256 "remote" 3 "dsyrk" 4 16.2791368 1.09931853282384 50
"30" "dsyrk" 256 "remote" 3 "dsyrk" 8 16.3157532 1.07251834325294 50
"31" "dsyrk" 512 "local" 3 "dsyrk" 0 19.591082 0.534025286296521 50
"32" "dsyrk" 512 "local" 3 "dsyrk" 4 19.58953 0.501280185716368 50
"33" "dsyrk" 512 "local" 3 "dsyrk" 8 19.614456 0.503076389768847 50
"34" "dsyrk" 512 "remote" 3 "dsyrk" 0 19.59917 0.611175531835402 50
"35" "dsyrk" 512 "remote" 3 "dsyrk" 4 19.588658 0.612284387402735 50
"36" "dsyrk" 512 "remote" 3 "dsyrk" 8 19.57783 0.613653633691561 50
"37" "dsyrk" 224 "local" 4 "dsyrk" 0 15.6835398 1.18880974263403 50
"38" "dsyrk" 224 "local" 4 "dsyrk" 4 15.683205 1.15829843975364 50
"39" "dsyrk" 224 "local" 4 "dsyrk" 8 15.607706 1.21815150115213 50
"40" "dsyrk" 224 "local" 4 "dsyrk" 12 15.7441914 1.15997060210111 50
"41" "dsyrk" 224 "remote" 4 "dsyrk" 0 15.5251028 1.21565892507162 50
"42" "dsyrk" 224 "remote" 4 "dsyrk" 4 15.5092306 1.21189218478902 50
"43" "dsyrk" 224 "remote" 4 "dsyrk" 8 15.5099038 1.16036869041766 50
"44" "dsyrk" 224 "remote" 4 "dsyrk" 12 15.6332434 1.19352749729122 50
"45" "dsyrk" 256 "local" 4 "dsyrk" 0 16.543329 1.10105898125998 50
"46" "dsyrk" 256 "local" 4 "dsyrk" 4 16.4720896 1.09266982802742 50
"47" "dsyrk" 256 "local" 4 "dsyrk" 8 16.5100814 1.10166303583378 50
"48" "dsyrk" 256 "local" 4 "dsyrk" 12 16.4863042 1.09292449210978 50
"49" "dsyrk" 256 "remote" 4 "dsyrk" 0 16.2010438 1.22710777881161 50
"50" "dsyrk" 256 "remote" 4 "dsyrk" 4 16.1716518 1.20531995533693 50
"51" "dsyrk" 256 "remote" 4 "dsyrk" 8 16.2179392 1.21376428633865 50
"52" "dsyrk" 256 "remote" 4 "dsyrk" 12 16.3189248 1.20836717479388 50
"53" "dsyrk" 512 "local" 4 "dsyrk" 0 19.514984 0.566045704277148 50
"54" "dsyrk" 512 "local" 4 "dsyrk" 4 19.504756 0.56492570656933 50
"55" "dsyrk" 512 "local" 4 "dsyrk" 8 19.472174 0.569312657476773 50
"56" "dsyrk" 512 "local" 4 "dsyrk" 12 19.516008 0.560086555934684 50
"57" "dsyrk" 512 "remote" 4 "dsyrk" 0 19.397018 0.56706020437311 50
"58" "dsyrk" 512 "remote" 4 "dsyrk" 4 19.406798 0.571622254493869 50
"59" "dsyrk" 512 "remote" 4 "dsyrk" 8 19.421762 0.601586583209731 50
"60" "dsyrk" 512 "remote" 4 "dsyrk" 12 19.414748 0.572472967097262 50
"61" "dsyrk" 224 "local" 5 "dsyrk" 0 15.7931874 1.22008425124746 50
"62" "dsyrk" 224 "local" 5 "dsyrk" 4 15.7835342 1.21961052042987 50
"63" "dsyrk" 224 "local" 5 "dsyrk" 8 15.747604 1.20297842143268 50
"64" "dsyrk" 224 "local" 5 "dsyrk" 12 15.801448 1.19735172985882 50
"65" "dsyrk" 224 "local" 5 "dsyrk" 16 15.8659618 1.2102923942816 50
"66" "dsyrk" 224 "remote" 5 "dsyrk" 0 15.5300818 1.28012461299941 50
"67" "dsyrk" 224 "remote" 5 "dsyrk" 4 15.5619486 1.29296058061983 50
"68" "dsyrk" 224 "remote" 5 "dsyrk" 8 15.4343984 1.30199821682589 50
"69" "dsyrk" 224 "remote" 5 "dsyrk" 12 15.5631322 1.20349701421722 50
"70" "dsyrk" 224 "remote" 5 "dsyrk" 16 15.5751796 1.27606203399518 50
"71" "dsyrk" 256 "local" 5 "dsyrk" 0 16.4423568 1.18399769801458 50
"72" "dsyrk" 256 "local" 5 "dsyrk" 4 16.4507868 1.18101913453617 50
"73" "dsyrk" 256 "local" 5 "dsyrk" 8 16.5024352 1.18171859504299 50
"74" "dsyrk" 256 "local" 5 "dsyrk" 12 16.4383398 1.17993439700808 50
"75" "dsyrk" 256 "local" 5 "dsyrk" 16 16.5124694 1.18199658673911 50
"76" "dsyrk" 256 "remote" 5 "dsyrk" 0 16.3729424 1.24544817820007 50
"77" "dsyrk" 256 "remote" 5 "dsyrk" 4 16.3882646 1.22702802873898 50
"78" "dsyrk" 256 "remote" 5 "dsyrk" 8 16.4128456 1.21735484792394 50
"79" "dsyrk" 256 "remote" 5 "dsyrk" 12 16.383598 1.23928418303569 50
"80" "dsyrk" 256 "remote" 5 "dsyrk" 16 16.339798 1.21537695865463 50
"81" "dsyrk" 512 "local" 5 "dsyrk" 0 19.27061 0.607266430533634 50
