"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dtrsm" 224 "local" 1 "dtrsm" 0 11.6963618 0.632626243223486 50
"2" "dtrsm" 224 "remote" 1 "dtrsm" 0 11.470412 0.598717091597883 50
"3" "dtrsm" 256 "local" 1 "dtrsm" 0 11.628781 0.582191336008592 50
"4" "dtrsm" 256 "remote" 1 "dtrsm" 0 11.370641 0.560291809510992 50
"5" "dtrsm" 512 "local" 1 "dtrsm" 0 15.338488 0.304426838930513 50
"6" "dtrsm" 512 "remote" 1 "dtrsm" 0 15.270842 0.325460240582471 50
"7" "dtrsm" 224 "local" 2 "dtrsm" 0 11.5374632 0.725675838209444 50
"8" "dtrsm" 224 "local" 2 "dtrsm" 4 11.5059796 0.726255932956791 50
"9" "dtrsm" 224 "remote" 2 "dtrsm" 0 11.4432556 0.652913676167978 50
"10" "dtrsm" 224 "remote" 2 "dtrsm" 4 11.4754432 0.656866590876686 50
"11" "dtrsm" 256 "local" 2 "dtrsm" 0 11.4459058 0.592978899036389 50
"12" "dtrsm" 256 "local" 2 "dtrsm" 4 11.4454542 0.591582587420508 50
"13" "dtrsm" 256 "remote" 2 "dtrsm" 0 11.6414482 0.587916696270685 50
"14" "dtrsm" 256 "remote" 2 "dtrsm" 4 11.6436864 0.601217857304552 50
"15" "dtrsm" 512 "local" 2 "dtrsm" 0 15.294164 0.290165515581458 50
"16" "dtrsm" 512 "local" 2 "dtrsm" 4 15.337954 0.291749898630694 50
"17" "dtrsm" 512 "remote" 2 "dtrsm" 0 15.317712 0.381045816324987 50
"18" "dtrsm" 512 "remote" 2 "dtrsm" 4 15.320658 0.382479462481854 50
"19" "dtrsm" 224 "local" 3 "dtrsm" 0 11.4834146 0.633324705258411 50
"20" "dtrsm" 224 "local" 3 "dtrsm" 4 11.6738624 0.644630168354931 50
"21" "dtrsm" 224 "local" 3 "dtrsm" 8 11.4829728 0.635549851038662 50
"22" "dtrsm" 224 "remote" 3 "dtrsm" 0 11.4129292 0.740485159230192 50
"23" "dtrsm" 224 "remote" 3 "dtrsm" 4 11.379061 0.737974158560489 50
"24" "dtrsm" 224 "remote" 3 "dtrsm" 8 11.3606274 0.734957759377103 50
"25" "dtrsm" 256 "local" 3 "dtrsm" 0 11.6225416 0.595557533879518 50
"26" "dtrsm" 256 "local" 3 "dtrsm" 4 11.5147704 0.598464773290145 50
"27" "dtrsm" 256 "local" 3 "dtrsm" 8 11.5212286 0.597626357196842 50
"28" "dtrsm" 256 "remote" 3 "dtrsm" 0 11.2407482 0.682680561716586 50
"29" "dtrsm" 256 "remote" 3 "dtrsm" 4 11.3965012 0.701173268282265 50
"30" "dtrsm" 256 "remote" 3 "dtrsm" 8 11.3974004 0.711250867542127 50
"31" "dtrsm" 512 "local" 3 "dtrsm" 0 15.323124 0.309207973443145 50
"32" "dtrsm" 512 "local" 3 "dtrsm" 4 15.320316 0.307616049686114 50
"33" "dtrsm" 512 "local" 3 "dtrsm" 8 15.31295 0.306818044363331 50
"34" "dtrsm" 512 "remote" 3 "dtrsm" 0 15.278188 0.39030788926755 50
"35" "dtrsm" 512 "remote" 3 "dtrsm" 4 15.242906 0.389178747773266 50
"36" "dtrsm" 512 "remote" 3 "dtrsm" 8 15.2719 0.387430469337956 50
"37" "dtrsm" 224 "local" 4 "dtrsm" 0 11.4269254 0.727275990150807 50
"38" "dtrsm" 224 "local" 4 "dtrsm" 4 11.450138 0.723748149873212 50
"39" "dtrsm" 224 "local" 4 "dtrsm" 8 11.407257 0.716002382706815 50
"40" "dtrsm" 224 "local" 4 "dtrsm" 12 11.466327 0.728899492750292 50
"41" "dtrsm" 224 "remote" 4 "dtrsm" 0 11.4316732 0.823528261831037 50
"42" "dtrsm" 224 "remote" 4 "dtrsm" 4 11.3305364 0.815999220314654 50
"43" "dtrsm" 224 "remote" 4 "dtrsm" 8 11.3264142 0.817120866062952 50
"44" "dtrsm" 224 "remote" 4 "dtrsm" 12 11.3321978 0.82270183854174 50
"45" "dtrsm" 256 "local" 4 "dtrsm" 0 11.4875062 0.615867592716758 50
"46" "dtrsm" 256 "local" 4 "dtrsm" 4 11.53161 0.634562701184598 50
"47" "dtrsm" 256 "local" 4 "dtrsm" 8 11.3935376 0.604887411343868 50
"48" "dtrsm" 256 "local" 4 "dtrsm" 12 11.4865144 0.610628544357637 50
"49" "dtrsm" 256 "remote" 4 "dtrsm" 0 11.3096722 0.757030233503206 50
"50" "dtrsm" 256 "remote" 4 "dtrsm" 4 11.2585842 0.755004537675484 50
"51" "dtrsm" 256 "remote" 4 "dtrsm" 8 11.3278972 0.756114326189863 50
"52" "dtrsm" 256 "remote" 4 "dtrsm" 12 11.2842432 0.752097617148308 50
"53" "dtrsm" 512 "local" 4 "dtrsm" 0 15.298114 0.338520829256955 50
"54" "dtrsm" 512 "local" 4 "dtrsm" 4 15.282704 0.337294901526718 50
"55" "dtrsm" 512 "local" 4 "dtrsm" 8 15.285232 0.337068477533778 50
"56" "dtrsm" 512 "local" 4 "dtrsm" 12 15.208414 0.330662427288629 50
"57" "dtrsm" 512 "remote" 4 "dtrsm" 0 15.27517 0.433011331920342 50
"58" "dtrsm" 512 "remote" 4 "dtrsm" 4 15.250216 0.445801155618758 50
"59" "dtrsm" 512 "remote" 4 "dtrsm" 8 15.141514 0.437153486803537 50
"60" "dtrsm" 512 "remote" 4 "dtrsm" 12 15.220072 0.43860984617218 50
"61" "dtrsm" 224 "local" 5 "dtrsm" 0 11.385231 0.777487278384669 50
"62" "dtrsm" 224 "local" 5 "dtrsm" 4 11.4042428 0.783281861432488 50
"63" "dtrsm" 224 "local" 5 "dtrsm" 8 11.3945168 0.765690536032112 50
"64" "dtrsm" 224 "local" 5 "dtrsm" 12 11.3877764 0.785627975630258 50
"65" "dtrsm" 224 "local" 5 "dtrsm" 16 11.4814254 0.763663760642879 50
"66" "dtrsm" 224 "remote" 5 "dtrsm" 0 11.2840482 0.863242919309223 50
"67" "dtrsm" 224 "remote" 5 "dtrsm" 4 11.2957204 0.833715503078422 50
"68" "dtrsm" 224 "remote" 5 "dtrsm" 8 11.275923 0.821821577860885 50
"69" "dtrsm" 224 "remote" 5 "dtrsm" 12 11.3484004 0.840353512011973 50
"70" "dtrsm" 224 "remote" 5 "dtrsm" 16 11.3785412 0.837739901756177 50
"71" "dtrsm" 256 "local" 5 "dtrsm" 0 11.6303242 0.649622035711536 50
"72" "dtrsm" 256 "local" 5 "dtrsm" 4 11.7256282 0.657506834205779 50
"73" "dtrsm" 256 "local" 5 "dtrsm" 8 11.7255564 0.65974327519911 50
"74" "dtrsm" 256 "local" 5 "dtrsm" 12 11.6931514 0.656709492521151 50
"75" "dtrsm" 256 "local" 5 "dtrsm" 16 11.7571354 0.659531808585114 50
"76" "dtrsm" 256 "remote" 5 "dtrsm" 0 11.3783928 0.769911483157721 50
"77" "dtrsm" 256 "remote" 5 "dtrsm" 4 11.3205346 0.7590838797866 50
