Exp runtime size blocksize inner_blocsize iterations threads gflops start end std
dpotrf_taskdep clang 8192  256 NA 5 96 1200.862113 1516816136709143398 1516816136864504662 16.818345
dpotrf_taskdep clang 16384 256 NA 5 96 1726.619058 1516816168169725645 1516816169028977455 10.641263
dpotrf_taskdep clang 32768 512 NA 5 96 1845.867575 1516816233202309887 1516816239578050920 3.636135
dpotrf_taskdep clang 8192  256 NA 5 88 1186.627022 1516816529604659595 1516816529755767991 20.858960
dpotrf_taskdep clang 16384 256 NA 5 88 1607.280928 1516816561442181409 1516816562351675337 9.136394
dpotrf_taskdep clang 32768 512 NA 5 88 1750.855049 1516816628399872628 1516816635066703349 4.959307
dpotrf_taskdep clang 8192  256 NA 5 80 1121.037681 1516816932592837649 1516816932752354775 20.516151
dpotrf_taskdep clang 16384 256 NA 5 80 1485.202667 1516816964783888298 1516816965768675448 4.209655
dpotrf_taskdep clang 32768 512 NA 5 80 1619.168543 1516817034269195946 1516817041506021786 2.950862
dpotrf_taskdep clang 8192  256 NA 5 72 1077.903351 1516817348508864450 1516817348679940962 16.889796
dpotrf_taskdep clang 16384 256 NA 5 72 1356.668713 1516817381154600054 1516817382241275481 7.648768
dpotrf_taskdep clang 32768 512 NA 5 72 1480.799969 1516817454251905404 1516817462202119840 3.107259
dpotrf_taskdep clang 8192  256 NA 5 24 457.655569 1516817970757259632 1516817971158567638 2.434545
dpotrf_taskdep clang 16384 256 NA 5 24 479.893809 1516818013717894769 1516818016762440435 1.634709
dpotrf_taskdep clang 32768 512 NA 5 24 522.365625 1516818162658726303 1516818185088062775 0.311453
dpotrf_taskdep clang 8192  256 NA 5 32 582.861498 1516818617421039944 1516818617735053561 6.233249
dpotrf_taskdep clang 16384 256 NA 5 32 634.198747 1516818656674807082 1516818659003795101 3.096045
dpotrf_taskdep clang 32768 512 NA 5 32 691.882434 1516818777045180757 1516818793988485866 0.262317
dpotrf_taskdep clang 8192  256 NA 5 40 705.005403 1516819180799931555 1516819181060455207 4.275519
dpotrf_taskdep clang 16384 256 NA 5 40 783.621249 1516819217621577320 1516819219494980918 2.839454
dpotrf_taskdep clang 32768 512 NA 5 40 858.290537 1516819320736157808 1516819334394395480 0.370770
dpotrf_taskdep clang 8192  256 NA 5 48 819.600756 1516819690525524814 1516819690750235008 6.697195
dpotrf_taskdep clang 16384 256 NA 5 48 938.172266 1516819725675393145 1516819727243349989 2.326963
dpotrf_taskdep clang 32768 512 NA 5 48 1022.018369 1516819817476065208 1516819828958772175 1.097923
