#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 256 5 96 1200.862113 1516816136709143398 1516816136864504662 16.818345
#Experience summarry : avg : 1200.862113 :: std : 16.818345 :: min : 1179.739883 :: max : 1229.567450 :: median : 1201.934777

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 256 5 96 1726.619058 1516816168169725645 1516816169028977455 10.641263
#Experience summarry : avg : 1726.619058 :: std : 10.641263 :: min : 1706.309401 :: max : 1737.601486 :: median : 1729.166387

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 32768 512 5 96 1845.867575 1516816233202309887 1516816239578050920 3.636135
#Experience summarry : avg : 1845.867575 :: std : 3.636135 :: min : 1839.575846 :: max : 1850.775258 :: median : 1846.540023

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 256 5 88 1186.627022 1516816529604659595 1516816529755767991 20.858960
#Experience summarry : avg : 1186.627022 :: std : 20.858960 :: min : 1153.261785 :: max : 1212.933899 :: median : 1185.468648

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 256 5 88 1607.280928 1516816561442181409 1516816562351675337 9.136394
#Experience summarry : avg : 1607.280928 :: std : 9.136394 :: min : 1590.964225 :: max : 1616.484616 :: median : 1612.049627

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 32768 512 5 88 1750.855049 1516816628399872628 1516816635066703349 4.959307
#Experience summarry : avg : 1750.855049 :: std : 4.959307 :: min : 1745.534117 :: max : 1759.255829 :: median : 1750.935248

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 256 5 80 1121.037681 1516816932592837649 1516816932752354775 20.516151
#Experience summarry : avg : 1121.037681 :: std : 20.516151 :: min : 1097.617852 :: max : 1148.995661 :: median : 1111.380285

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 256 5 80 1485.202667 1516816964783888298 1516816965768675448 4.209655
#Experience summarry : avg : 1485.202667 :: std : 4.209655 :: min : 1478.629382 :: max : 1490.622739 :: median : 1484.209482

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 32768 512 5 80 1619.168543 1516817034269195946 1516817041506021786 2.950862
