#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 96 564.578093 1516911828298746843 1516911829598925225 2.517320
#Experience summarry : avg : 564.578093 :: std : 2.517320 :: min : 562.231471 :: max : 569.326249 :: median : 563.877747

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 96 737.209763 1516911896705090075 1516911904649325167 2.876183
#Experience summarry : avg : 737.209763 :: std : 2.876183 :: min : 731.527768 :: max : 739.481349 :: median : 738.319436

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 96 1268.121714 1516912121635204143 1516912158691345397 2.353650
#Experience summarry : avg : 1268.121714 :: std : 2.353650 :: min : 1264.637281 :: max : 1270.722428 :: median : 1269.404014

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 88 579.069338 1516912889951257808 1516912891218112352 1.250948
#Experience summarry : avg : 579.069338 :: std : 1.250948 :: min : 577.309911 :: max : 580.997824 :: median : 578.710276

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 88 745.789105 1516912957846591595 1516912965673026752 3.918568
#Experience summarry : avg : 745.789105 :: std : 3.918568 :: min : 740.674734 :: max : 750.903485 :: median : 745.696048

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 88 1267.117306 1516913183218072219 1516913220178652954 1.707141
#Experience summarry : avg : 1267.117306 :: std : 1.707141 :: min : 1264.859578 :: max : 1269.315644 :: median : 1267.170883

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 80 578.157096 1516913963253210932 1516913964520178194 1.345239
#Experience summarry : avg : 578.157096 :: std : 1.345239 :: min : 576.470065 :: max : 580.297978 :: median : 578.354137

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 80 833.507309 1516914026964950136 1516914033996022556 4.748875
#Experience summarry : avg : 833.507309 :: std : 4.748875 :: min : 827.415550 :: max : 838.759765 :: median : 834.097396

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 80 1230.064389 1516914257313629074 1516914295420708356 1.774706
#Experience summarry : avg : 1230.064389 :: std : 1.774706 :: min : 1227.993103 :: max : 1232.832709 :: median : 1229.932405

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 72 570.679134 1516915065673222124 1516915066962747047 2.384538
#Experience summarry : avg : 570.679134 :: std : 2.384538 :: min : 568.536574 :: max : 575.022866 :: median : 569.282087

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 72 860.575880 1516915128284855427 1516915135096061616 1.046561
#Experience summarry : avg : 860.575880 :: std : 1.046561 :: min : 859.201454 :: max : 862.032822 :: median : 861.022097

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 72 1158.570818 1516915370246375638 1516915410701148415 1.611088
#Experience summarry : avg : 1158.570818 :: std : 1.611088 :: min : 1155.805428 :: max : 1160.038906 :: median : 1159.645237

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 24 340.697580 1516917144310468186 1516917146463517778 0.383053
#Experience summarry : avg : 340.697580 :: std : 0.383053 :: min : 340.369183 :: max : 341.413259 :: median : 340.513388

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 24 367.032650 1516917253885249339 1516917269870488581 0.125121
#Experience summarry : avg : 367.032650 :: std : 0.125121 :: min : 366.875879 :: max : 367.255349 :: median : 367.021604

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 24 431.204311 1516917847935979163 1516917956729794819 0.069164
#Experience summarry : avg : 431.204311 :: std : 0.069164 :: min : 431.145220 :: max : 431.330169 :: median : 431.172648

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 32 438.497583 1516919316031630136 1516919317708666043 1.115594
#Experience summarry : avg : 438.497583 :: std : 1.115594 :: min : 437.165325 :: max : 440.277689 :: median : 438.261602

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 32 483.511717 1516919405780008098 1516919417910690897 0.160611
#Experience summarry : avg : 483.511717 :: std : 0.160611 :: min : 483.222027 :: max : 483.642840 :: median : 483.607306

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 32 568.498851 1516919864203444736 1516919946710834360 0.172698
#Experience summarry : avg : 568.498851 :: std : 0.172698 :: min : 568.198532 :: max : 568.694304 :: median : 568.558361

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 40 521.350851 1516921082785195341 1516921084189998922 0.801466
#Experience summarry : avg : 521.350851 :: std : 0.801466 :: min : 519.913916 :: max : 522.168310 :: median : 521.705335

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 40 595.942153 1516921160778457765 1516921170623129035 0.204335
#Experience summarry : avg : 595.942153 :: std : 0.204335 :: min : 595.712989 :: max : 596.278328 :: median : 595.952703

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 40 701.861039 1516921537968284610 1516921604828861746 0.186722
