#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 96 594.039772 1516911136544860917 1516911137773604613 3.490854
#Experience summarry : avg : 594.039772 :: std : 3.490854 :: min : 588.820425 :: max : 598.818040 :: median : 593.850197

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 96 767.379741 1516911203249585343 1516911210884258584 3.167265
#Experience summarry : avg : 767.379741 :: std : 3.167265 :: min : 761.529809 :: max : 771.190869 :: median : 768.091892

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 96 1456.803272 1516911404162523165 1516911436341933070 2.556199
#Experience summarry : avg : 1456.803272 :: std : 2.556199 :: min : 1451.731615 :: max : 1458.669469 :: median : 1457.908762

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 88 593.238830 1516912191245866202 1516912192474079712 2.959479
#Experience summarry : avg : 593.238830 :: std : 2.959479 :: min : 589.593213 :: max : 596.917144 :: median : 591.611421

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 88 762.333142 1516912258165740572 1516912265863111417 3.108108
#Experience summarry : avg : 762.333142 :: std : 3.108108 :: min : 758.195694 :: max : 766.445616 :: median : 761.896361

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 88 1397.924151 1516912466240694947 1516912499778869825 1.707607
#Experience summarry : avg : 1397.924151 :: std : 1.707607 :: min : 1394.850565 :: max : 1399.484474 :: median : 1398.843078

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 80 595.734007 1516913252669767209 1516913253904571497 3.858257
#Experience summarry : avg : 595.734007 :: std : 3.858257 :: min : 590.732431 :: max : 601.058688 :: median : 593.777610

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 80 825.759714 1516913316699603920 1516913323794406725 4.211599
#Experience summarry : avg : 825.759714 :: std : 4.211599 :: min : 818.326361 :: max : 829.979422 :: median : 826.604783

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 80 1313.275501 1516913534961690455 1516913570679656871 0.605163
#Experience summarry : avg : 1313.275501 :: std : 0.605163 :: min : 1312.521829 :: max : 1314.253519 :: median : 1313.361458

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 72 592.828386 1516914327973252906 1516914329204814608 3.298487
#Experience summarry : avg : 592.828386 :: std : 3.298487 :: min : 586.479376 :: max : 595.295408 :: median : 594.214545

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 16384 256 128 5 72 887.753640 1516914389538163649 1516914396136619740 1.292765
#Experience summarry : avg : 887.753640 :: std : 1.292765 :: min : 885.589695 :: max : 889.320065 :: median : 887.719333

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 32768 512 128 5 72 1213.460128 1516914622104909761 1516914660776727369 0.713730
#Experience summarry : avg : 1213.460128 :: std : 0.713730 :: min : 1212.236353 :: max : 1214.243007 :: median : 1213.669601

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dgeqrf_taskdep 8192 256 128 5 24 340.687329 1516915447847722187 1516915449995066299 0.481532
#Experience summarry : avg : 340.687329 :: std : 0.481532 :: min : 340.154609 :: max : 341.417884 :: median : 340.747445

#Output follows this header :
##Progname Size Blocksize Internal_Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
