Progname Runtime Size Blocksize Iterations Threads Gflops startTime endTime Stddev
dpotrf_taskdep libGOMP 8192 256 3 1 20.631039 1515660828901562161 1515660837786405594 0.001510
dpotrf_taskdep libGOMP 8192 256 3 2 40.912910 1515660867906679672 1515660872385829094 0.005655
dpotrf_taskdep libGOMP 8192 256 3 4 81.321082 1515660895072718939 1515660897326776188 0.016151
dpotrf_taskdep libGOMP 8192 256 3 8 161.057932 1515660916321225257 1515660917459773167 0.069503
dpotrf_taskdep libGOMP 8192 256 3 12 239.059117 1515660935255548059 1515660936022126794 0.106609
dpotrf_taskdep libGOMP 8192 256 3 16 314.637538 1515660953262795761 1515660953845428664 0.252740
dpotrf_taskdep libGOMP 8192 256 3 24 456.189358 1515660970483713798 1515660970885784386 0.578929
dpotrf_taskdep libGOMP 8192 256 3 32 577.747076 1515660987259878879 1515660987577187658 1.556703
dpotrf_taskdep libGOMP 8192 256 3 40 684.453056 1515661003795811294 1515661004063843545 1.397328
dpotrf_taskdep libGOMP 8192 256 3 48 776.160567 1515661020198405412 1515661020434474299 1.151125
dpotrf_taskdep libGOMP 8192 256 3 56 853.855607 1515661036512774476 1515661036727450750 0.382678
dpotrf_taskdep libGOMP 8192 256 3 64 924.383150 1515661052734270111 1515661052933179112 3.953749
dpotrf_taskdep libGOMP 8192 256 3 72 985.889490 1515661068932613825 1515661069118227348 1.191912
dpotrf_taskdep libGOMP 8192 256 3 80 1028.588854 1515661085083902902 1515661085261491934 5.722610
dpotrf_taskdep libGOMP 8192 256 3 88 1063.336873 1515661101214964549 1515661101386915208 2.770018
dpotrf_taskdep libGOMP 8192 256 3 96 1091.097122 1515661117316172436 1515661117484421532 8.853207
dpotrf_taskdep libKOMP-Affinité 8192 256 3 1 20.657160 1515660495412305291 1515660504285168558 0.000745
dpotrf_taskdep libKOMP-Affinité 8192 256 3 2 40.020539 1515660534690278444 1515660539271515047 0.009723
dpotrf_taskdep libKOMP-Affinité 8192 256 3 4 80.444142 1515660562024342979 1515660564307468180 0.132700
dpotrf_taskdep libKOMP-Affinité 8192 256 3 8 160.380551 1515660583310942452 1515660584455070578 0.203619
dpotrf_taskdep libKOMP-Affinité 8192 256 3 12 237.575430 1515660602245282088 1515660603011880831 1.762006
dpotrf_taskdep libKOMP-Affinité 8192 256 3 16 312.533981 1515660620248980547 1515660620833290545 2.042824
dpotrf_taskdep libKOMP-Affinité 8192 256 3 24 454.215087 1515660637489606647 1515660637895432289 2.095919
dpotrf_taskdep libKOMP-Affinité 8192 256 3 32 587.882764 1515660654288658700 1515660654601545281 3.569428
dpotrf_taskdep libKOMP-Affinité 8192 256 3 40 704.967275 1515660670786662886 1515660671051180773 8.912103
dpotrf_taskdep libKOMP-Affinité 8192 256 3 48 810.493833 1515660687179170215 1515660687404587869 1.848874
dpotrf_taskdep libKOMP-Affinité 8192 256 3 56 902.043899 1515660703437216243 1515660703638924583 4.706273
dpotrf_taskdep libKOMP-Affinité 8192 256 3 64 996.120097 1515660719614183061 1515660719795809750 14.187112
dpotrf_taskdep libKOMP-Affinité 8192 256 3 72 1061.734769 1515660735759059603 1515660735927839222 24.659070
dpotrf_taskdep libKOMP-Affinité 8192 256 3 80 1134.197633 1515660751853902079 1515660752015417441 2.356033
dpotrf_taskdep libKOMP-Affinité 8192 256 3 88 1154.423862 1515660767935851351 1515660768092154455 19.635146
dpotrf_taskdep libKOMP-Affinité 8192 256 3 96 1196.890762 1515660783988455591 1515660784142101669 24.389633
dpotrf_taskdep simulation 8192 256 1 1 19.4776 0 0 0
dpotrf_taskdep simulation 8192 256 1 2 38.8807 0 0 0
dpotrf_taskdep simulation 8192 256 1 3 58.213 0 0 0
dpotrf_taskdep simulation 8192 256 1 4 77.5084 0 0 0
dpotrf_taskdep simulation 8192 256 1 5 96.5757 0 0 0
dpotrf_taskdep simulation 8192 256 1 6 115.756 0 0 0
dpotrf_taskdep simulation 8192 256 1 7 134.1 0 0 0
dpotrf_taskdep simulation 8192 256 1 8 153.046 0 0 0
dpotrf_taskdep simulation 8192 256 1 9 171.666 0 0 0
dpotrf_taskdep simulation 8192 256 1 10 190.502 0 0 0
dpotrf_taskdep simulation 8192 256 1 11 208.426 0 0 0
dpotrf_taskdep simulation 8192 256 1 12 227.863 0 0 0
dpotrf_taskdep simulation 8192 256 1 13 244.747 0 0 0
dpotrf_taskdep simulation 8192 256 1 14 262.442 0 0 0
dpotrf_taskdep simulation 8192 256 1 15 280.187 0 0 0
dpotrf_taskdep simulation 8192 256 1 16 297.585 0 0 0
dpotrf_taskdep simulation 8192 256 1 17 314.806 0 0 0
dpotrf_taskdep simulation 8192 256 1 18 332.506 0 0 0
dpotrf_taskdep simulation 8192 256 1 19 347.934 0 0 0
dpotrf_taskdep simulation 8192 256 1 20 367.603 0 0 0
dpotrf_taskdep simulation 8192 256 1 21 385.006 0 0 0
dpotrf_taskdep simulation 8192 256 1 22 400.409 0 0 0
dpotrf_taskdep simulation 8192 256 1 23 415.042 0 0 0
dpotrf_taskdep simulation 8192 256 1 24 433.344 0 0 0
dpotrf_taskdep simulation 8192 256 1 25 447.351 0 0 0
dpotrf_taskdep simulation 8192 256 1 26 467.881 0 0 0
dpotrf_taskdep simulation 8192 256 1 27 486.444 0 0 0
dpotrf_taskdep simulation 8192 256 1 28 497.088 0 0 0
dpotrf_taskdep simulation 8192 256 1 29 513.9 0 0 0
dpotrf_taskdep simulation 8192 256 1 30 523.563 0 0 0
dpotrf_taskdep simulation 8192 256 1 31 537.632 0 0 0
dpotrf_taskdep simulation 8192 256 1 32 561.931 0 0 0
dpotrf_taskdep simulation 8192 256 1 33 577.194 0 0 0
dpotrf_taskdep simulation 8192 256 1 34 592.816 0 0 0
dpotrf_taskdep simulation 8192 256 1 35 609.022 0 0 0
dpotrf_taskdep simulation 8192 256 1 36 622.004 0 0 0
dpotrf_taskdep simulation 8192 256 1 37 637.536 0 0 0
dpotrf_taskdep simulation 8192 256 1 38 648.421 0 0 0
dpotrf_taskdep simulation 8192 256 1 39 652.018 0 0 0
dpotrf_taskdep simulation 8192 256 1 40 685.823 0 0 0
dpotrf_taskdep simulation 8192 256 1 41 697.702 0 0 0
dpotrf_taskdep simulation 8192 256 1 42 687.305 0 0 0
dpotrf_taskdep simulation 8192 256 1 43 719.485 0 0 0
dpotrf_taskdep simulation 8192 256 1 44 740.205 0 0 0
dpotrf_taskdep simulation 8192 256 1 45 747.793 0 0 0
dpotrf_taskdep simulation 8192 256 1 46 766.106 0 0 0
dpotrf_taskdep simulation 8192 256 1 47 776.064 0 0 0
dpotrf_taskdep simulation 8192 256 1 48 788.23 0 0 0
dpotrf_taskdep simulation 8192 256 1 49 786.739 0 0 0
dpotrf_taskdep simulation 8192 256 1 50 800.425 0 0 0
dpotrf_taskdep simulation 8192 256 1 51 830.52 0 0 0
dpotrf_taskdep simulation 8192 256 1 52 835.52 0 0 0
dpotrf_taskdep simulation 8192 256 1 53 854.315 0 0 0
dpotrf_taskdep simulation 8192 256 1 54 858.57 0 0 0
dpotrf_taskdep simulation 8192 256 1 55 868.48 0 0 0
dpotrf_taskdep simulation 8192 256 1 56 878.929 0 0 0
dpotrf_taskdep simulation 8192 256 1 57 883.93 0 0 0
dpotrf_taskdep simulation 8192 256 1 58 904.268 0 0 0
dpotrf_taskdep simulation 8192 256 1 59 922.496 0 0 0
dpotrf_taskdep simulation 8192 256 1 60 924.465 0 0 0
dpotrf_taskdep simulation 8192 256 1 61 955.153 0 0 0
dpotrf_taskdep simulation 8192 256 1 62 950.929 0 0 0
dpotrf_taskdep simulation 8192 256 1 63 971.962 0 0 0
dpotrf_taskdep simulation 8192 256 1 64 970.999 0 0 0
dpotrf_taskdep simulation 8192 256 1 65 992.389 0 0 0
dpotrf_taskdep simulation 8192 256 1 66 1015.83 0 0 0
dpotrf_taskdep simulation 8192 256 1 67 1017.7 0 0 0
dpotrf_taskdep simulation 8192 256 1 68 1013.29 0 0 0
dpotrf_taskdep simulation 8192 256 1 69 1044.28 0 0 0
dpotrf_taskdep simulation 8192 256 1 70 1057.81 0 0 0
dpotrf_taskdep simulation 8192 256 1 71 1058.1 0 0 0
dpotrf_taskdep simulation 8192 256 1 72 1073.13 0 0 0
dpotrf_taskdep simulation 8192 256 1 73 1066.07 0 0 0
dpotrf_taskdep simulation 8192 256 1 74 1091.94 0 0 0
dpotrf_taskdep simulation 8192 256 1 75 1113.19 0 0 0
dpotrf_taskdep simulation 8192 256 1 76 1115.5 0 0 0
dpotrf_taskdep simulation 8192 256 1 77 1128.07 0 0 0
dpotrf_taskdep simulation 8192 256 1 78 1120.99 0 0 0
dpotrf_taskdep simulation 8192 256 1 79 1135.33 0 0 0
dpotrf_taskdep simulation 8192 256 1 80 1145.29 0 0 0
dpotrf_taskdep simulation 8192 256 1 81 1119.34 0 0 0
dpotrf_taskdep simulation 8192 256 1 82 1152.12 0 0 0
dpotrf_taskdep simulation 8192 256 1 83 1167.85 0 0 0
dpotrf_taskdep simulation 8192 256 1 84 1171.4 0 0 0
dpotrf_taskdep simulation 8192 256 1 85 1195.54 0 0 0
dpotrf_taskdep simulation 8192 256 1 86 1157.9 0 0 0
dpotrf_taskdep simulation 8192 256 1 87 1179.41 0 0 0
dpotrf_taskdep simulation 8192 256 1 88 1222.66 0 0 0
dpotrf_taskdep simulation 8192 256 1 89 1238.4 0 0 0
dpotrf_taskdep simulation 8192 256 1 90 1242.03 0 0 0
dpotrf_taskdep simulation 8192 256 1 91 1234.95 0 0 0
dpotrf_taskdep simulation 8192 256 1 92 1223.58 0 0 0
dpotrf_taskdep simulation 8192 256 1 93 1235.54 0 0 0
dpotrf_taskdep simulation 8192 256 1 94 1272.11 0 0 0
dpotrf_taskdep simulation 8192 256 1 95 1261.88 0 0 0
dpotrf_taskdep simulation 8192 256 1 96 1263.91 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 1 17.9567 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 2 35.8425 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 3 53.669 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 4 71.4121 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 5 89.1415 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 6 106.579 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 7 123.825 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 8 140.869 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 9 158.195 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 10 174.797 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 11 192.548 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 12 208.272 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 13 226.14 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 14 242.103 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 15 257.4 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 16 274.557 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 17 291.35 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 18 307.663 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 19 322.239 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 20 337.566 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 21 352.102 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 22 369.207 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 23 386.091 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 24 399.73 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 25 419.308 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 26 434.005 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 27 445.352 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 28 461.684 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 29 470.417 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 30 480.356 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 31 505.825 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 32 517.297 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 33 533.854 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 34 544.788 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 35 557.149 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 36 575.835 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 37 587.336 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 38 597.46 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 39 611.926 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 40 626.79 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 41 640.67 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 42 652.638 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 43 661.95 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 44 680.263 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 45 679.749 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 46 702.471 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 47 710.788 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 48 724.061 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 49 748.309 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 50 753.934 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 51 732.063 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 52 772.138 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 53 780.183 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 54 784.939 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 55 801.348 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 56 829.352 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 57 838.108 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 58 827.227 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 59 853.52 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 60 857.095 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 61 871.578 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 62 881.538 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 63 897.874 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 64 893.017 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 65 891.091 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 66 929.151 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 67 941.332 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 68 942.319 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 69 951.079 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 70 949.815 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 71 969.808 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 72 971.353 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 73 984.708 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 74 992.658 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 75 1002.04 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 76 1018.84 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 77 1014.01 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 78 1039 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 79 1037.69 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 80 1035.61 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 81 1025.23 0 0 0
dpotrf_taskdep simulation_min 8192 256 1 82 1047.8 0 0 0
