"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dgemm" 256 "local" 1 "dgemm" 0 16.085378 0.444760944406529 50
"2" "dgemm" 256 "remote" 1 "dgemm" 0 16.12435 0.448994090343364 50
"3" "dgemm" 256 "local" 2 "dgemm" 0 16.073602 0.483455458341304 50
"4" "dgemm" 256 "local" 2 "dgemm" 4 16.083884 0.483921454817466 50
"5" "dgemm" 256 "remote" 2 "dgemm" 0 16.056384 0.651972722091209 50
"6" "dgemm" 256 "remote" 2 "dgemm" 4 15.98891 0.896180636230834 50
"7" "dgemm" 256 "local" 3 "dgemm" 0 16.067216 0.573589535156297 50
"8" "dgemm" 256 "local" 3 "dgemm" 4 16.060618 0.571622167451936 50
"9" "dgemm" 256 "local" 3 "dgemm" 8 16.08103 0.576057466397092 50
"10" "dgemm" 256 "remote" 3 "dgemm" 0 16.090632 0.554932813157023 50
"11" "dgemm" 256 "remote" 3 "dgemm" 4 16.107582 0.560016625369101 50
"12" "dgemm" 256 "remote" 3 "dgemm" 8 16.110554 0.559913299487391 50
"13" "dgemm" 256 "local" 4 "dgemm" 0 16.037606 0.627869088269268 50
"14" "dgemm" 256 "local" 4 "dgemm" 4 16.069078 0.634313116618509 50
"15" "dgemm" 256 "local" 4 "dgemm" 8 16.052482 0.629243585322399 50
"16" "dgemm" 256 "local" 4 "dgemm" 12 16.101124 0.636104865106568 50
"17" "dgemm" 256 "remote" 4 "dgemm" 0 16.099012 0.60299656364811 50
"18" "dgemm" 256 "remote" 4 "dgemm" 4 16.026514 0.761904145240524 50
"19" "dgemm" 256 "remote" 4 "dgemm" 8 16.112198 0.604139812001244 50
"20" "dgemm" 256 "remote" 4 "dgemm" 12 16.13558 0.604648363994837 50
"21" "dgemm" 256 "local" 5 "dgemm" 0 16.072982 0.69041630289416 50
"22" "dgemm" 256 "local" 5 "dgemm" 4 16.05054 0.68442625726418 50
"23" "dgemm" 256 "local" 5 "dgemm" 8 16.039658 0.68597050900196 50
"24" "dgemm" 256 "local" 5 "dgemm" 12 16.090698 0.689594171245905 50
"25" "dgemm" 256 "local" 5 "dgemm" 16 16.0963 0.693080268049224 50
"26" "dgemm" 256 "remote" 5 "dgemm" 0 16.080018 0.646792424415772 50
"27" "dgemm" 256 "remote" 5 "dgemm" 4 16.062012 0.643638780886628 50
"28" "dgemm" 256 "remote" 5 "dgemm" 8 16.077788 0.646466573039274 50
