"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dpotrf" 256 "local" 1 "dpotrf" 0 5.7880592 0.259977645058107 50
"2" "dpotrf" 256 "remote" 1 "dpotrf" 0 5.9067186 0.150692081858121 50
"3" "dpotrf" 256 "local" 2 "dpotrf" 0 5.87952 0.24138929541895 50
"4" "dpotrf" 256 "local" 2 "dpotrf" 4 5.8694564 0.24331145343886 50
"5" "dpotrf" 256 "remote" 2 "dpotrf" 0 5.917221 0.168283647843849 50
"6" "dpotrf" 256 "remote" 2 "dpotrf" 4 5.8970004 0.167580396568699 50
"7" "dpotrf" 256 "local" 3 "dpotrf" 0 5.887185 0.259479670826924 50
"8" "dpotrf" 256 "local" 3 "dpotrf" 4 5.8791822 0.25170336005387 50
"9" "dpotrf" 256 "local" 3 "dpotrf" 8 5.8723592 0.292995673930869 50
"10" "dpotrf" 256 "remote" 3 "dpotrf" 0 5.9116142 0.164192759380615 50
"11" "dpotrf" 256 "remote" 3 "dpotrf" 4 5.9059802 0.172744282595248 50
"12" "dpotrf" 256 "remote" 3 "dpotrf" 8 5.915143 0.168983947894226 50
"13" "dpotrf" 256 "local" 4 "dpotrf" 0 5.8564302 0.284195118238459 50
"14" "dpotrf" 256 "local" 4 "dpotrf" 4 5.8610488 0.322597272561063 50
"15" "dpotrf" 256 "local" 4 "dpotrf" 8 5.857179 0.282431933098355 50
"16" "dpotrf" 256 "local" 4 "dpotrf" 12 5.8447392 0.309342829941283 50
"17" "dpotrf" 256 "remote" 4 "dpotrf" 0 5.875155 0.203227750507972 50
"18" "dpotrf" 256 "remote" 4 "dpotrf" 4 5.9077326 0.189517756615822 50
"19" "dpotrf" 256 "remote" 4 "dpotrf" 8 5.9064838 0.185923538441182 50
"20" "dpotrf" 256 "remote" 4 "dpotrf" 12 5.916541 0.191476695201014 50
"21" "dpotrf" 256 "local" 5 "dpotrf" 0 5.8750288 0.345044602728401 50
"22" "dpotrf" 256 "local" 5 "dpotrf" 4 5.8652534 0.340633810445787 50
"23" "dpotrf" 256 "local" 5 "dpotrf" 8 5.8816946 0.343749468376346 50
"24" "dpotrf" 256 "local" 5 "dpotrf" 12 5.8761562 0.342526888477625 50
"25" "dpotrf" 256 "local" 5 "dpotrf" 16 5.8774062 0.342319136812598 50
"26" "dpotrf" 256 "remote" 5 "dpotrf" 0 5.9158622 0.197630606655189 50
"27" "dpotrf" 256 "remote" 5 "dpotrf" 4 5.8949324 0.207173724937132 50
"28" "dpotrf" 256 "remote" 5 "dpotrf" 8 5.9185346 0.194189123029324 50
"29" "dpotrf" 256 "remote" 5 "dpotrf" 12 5.930533 0.198260068084672 50
"30" "dpotrf" 256 "remote" 5 "dpotrf" 16 5.9275472 0.196815112660567 50
"31" "dpotrf" 256 "local" 6 "dpotrf" 0 5.8726424 0.35887610978971 50
"32" "dpotrf" 256 "local" 6 "dpotrf" 4 5.862147 0.354937575645496 50
"33" "dpotrf" 256 "local" 6 "dpotrf" 8 5.8554028 0.352234402658925 50
"34" "dpotrf" 256 "local" 6 "dpotrf" 12 5.8746766 0.355373216340632 50
"35" "dpotrf" 256 "local" 6 "dpotrf" 16 5.8842736 0.3556780926496 50
"36" "dpotrf" 256 "local" 6 "dpotrf" 20 5.8663084 0.35532898846895 50
"37" "dpotrf" 256 "remote" 6 "dpotrf" 0 5.9115244 0.196815439540371 50
"38" "dpotrf" 256 "remote" 6 "dpotrf" 4 5.914604 0.191166504676431 50
"39" "dpotrf" 256 "remote" 6 "dpotrf" 8 5.9067464 0.200438676781805 50
"40" "dpotrf" 256 "remote" 6 "dpotrf" 12 5.9081284 0.202387117888426 50
"41" "dpotrf" 256 "remote" 6 "dpotrf" 16 5.91971 0.194304305244981 50
"42" "dpotrf" 256 "remote" 6 "dpotrf" 20 5.9109086 0.186043277278296 50
"43" "dpotrf" 256 "local" 7 "dpotrf" 0 5.839907 0.37779542364559 50
"44" "dpotrf" 256 "local" 7 "dpotrf" 4 5.8494646 0.369960295217733 50
"45" "dpotrf" 256 "local" 7 "dpotrf" 8 5.8600624 0.36874561508322 50
"46" "dpotrf" 256 "local" 7 "dpotrf" 12 5.8654418 0.369246246482739 50
"47" "dpotrf" 256 "local" 7 "dpotrf" 16 5.859979 0.372774560768466 50
"48" "dpotrf" 256 "local" 7 "dpotrf" 20 5.8582036 0.374939559879037 50
"49" "dpotrf" 256 "local" 7 "dpotrf" 24 5.852396 0.368967144325666 50
"50" "dpotrf" 256 "remote" 7 "dpotrf" 0 5.8940434 0.200450116819876 50
"51" "dpotrf" 256 "remote" 7 "dpotrf" 4 5.9120742 0.242375844767786 50
"52" "dpotrf" 256 "remote" 7 "dpotrf" 8 5.893048 0.235893633812931 50
"53" "dpotrf" 256 "remote" 7 "dpotrf" 12 5.9136042 0.245704592201568 50
"54" "dpotrf" 256 "remote" 7 "dpotrf" 16 5.9209612 0.19830746950066 50
"55" "dpotrf" 256 "remote" 7 "dpotrf" 20 5.9220094 0.229681431742724 50
"56" "dpotrf" 256 "remote" 7 "dpotrf" 24 5.8765362 0.337288222280807 50
"57" "dpotrf" 256 "local" 8 "dpotrf" 0 5.862247 0.400317252654003 50
"58" "dpotrf" 256 "local" 8 "dpotrf" 4 5.8391796 0.397099788717945 50
"59" "dpotrf" 256 "local" 8 "dpotrf" 8 5.8520916 0.399692875222351 50
"60" "dpotrf" 256 "local" 8 "dpotrf" 12 5.8629454 0.400611146804123 50
"61" "dpotrf" 256 "local" 8 "dpotrf" 16 5.8398164 0.397894728815837 50
"62" "dpotrf" 256 "local" 8 "dpotrf" 20 5.8667478 0.400914973540958 50
"63" "dpotrf" 256 "local" 8 "dpotrf" 24 5.8539488 0.39897874747062 50
"64" "dpotrf" 256 "local" 8 "dpotrf" 28 5.8547672 0.39826388241579 50
"65" "dpotrf" 256 "remote" 8 "dpotrf" 0 5.9174356 0.20492773056801 50
"66" "dpotrf" 256 "remote" 8 "dpotrf" 4 5.8912288 0.231041240488996 50
"67" "dpotrf" 256 "remote" 8 "dpotrf" 8 5.9087138 0.23705526859131 50
"68" "dpotrf" 256 "remote" 8 "dpotrf" 12 5.912148 0.221764760049923 50
