"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dsyrk" 256 "local" 1 "dsyrk" 0 13.18619 0.492454356011907 50
"2" "dsyrk" 256 "remote" 1 "dsyrk" 0 13.150516 0.621012668496105 50
"3" "dsyrk" 256 "local" 2 "dsyrk" 0 13.1863896 0.541054652733654 50
"4" "dsyrk" 256 "local" 2 "dsyrk" 4 13.1595764 0.552972194240454 50
"5" "dsyrk" 256 "remote" 2 "dsyrk" 0 13.2012546 0.52493678083587 50
"6" "dsyrk" 256 "remote" 2 "dsyrk" 4 13.201052 0.51347757069629 50
"7" "dsyrk" 256 "local" 3 "dsyrk" 0 13.1676336 0.609101398179586 50
"8" "dsyrk" 256 "local" 3 "dsyrk" 4 13.1496576 0.596716981705186 50
"9" "dsyrk" 256 "local" 3 "dsyrk" 8 13.1491282 0.591706692341738 50
"10" "dsyrk" 256 "remote" 3 "dsyrk" 0 13.1850916 0.561149842931349 50
"11" "dsyrk" 256 "remote" 3 "dsyrk" 4 13.191873 0.563349604290339 50
"12" "dsyrk" 256 "remote" 3 "dsyrk" 8 13.198242 0.553391680712344 50
"13" "dsyrk" 256 "local" 4 "dsyrk" 0 13.1462636 0.656488908872412 50
"14" "dsyrk" 256 "local" 4 "dsyrk" 4 13.1505946 0.637570667190768 50
"15" "dsyrk" 256 "local" 4 "dsyrk" 8 13.1336548 0.648587603030663 50
"16" "dsyrk" 256 "local" 4 "dsyrk" 12 13.1953626 0.652615354960207 50
"17" "dsyrk" 256 "remote" 4 "dsyrk" 0 13.1951368 0.577658829079969 50
"18" "dsyrk" 256 "remote" 4 "dsyrk" 4 13.126978 0.651059157251333 50
"19" "dsyrk" 256 "remote" 4 "dsyrk" 8 13.1859906 0.580089851071331 50
"20" "dsyrk" 256 "remote" 4 "dsyrk" 12 13.23311 0.567420397815538 50
"21" "dsyrk" 256 "local" 5 "dsyrk" 0 13.168075 0.698769870459685 50
"22" "dsyrk" 256 "local" 5 "dsyrk" 4 13.1358534 0.709951667977275 50
"23" "dsyrk" 256 "local" 5 "dsyrk" 8 13.1492196 0.715377608824878 50
"24" "dsyrk" 256 "local" 5 "dsyrk" 12 13.186089 0.712688241749189 50
"25" "dsyrk" 256 "local" 5 "dsyrk" 16 13.1506924 0.701793431807976 50
"26" "dsyrk" 256 "remote" 5 "dsyrk" 0 13.1754238 0.644814563594868 50
"27" "dsyrk" 256 "remote" 5 "dsyrk" 4 13.174 0.650742527535167 50
"28" "dsyrk" 256 "remote" 5 "dsyrk" 8 13.1815576 0.646546793743689 50
"29" "dsyrk" 256 "remote" 5 "dsyrk" 12 13.220199 0.636952346477076 50
"30" "dsyrk" 256 "remote" 5 "dsyrk" 16 13.1915458 0.636326412631608 50
"31" "dsyrk" 256 "local" 6 "dsyrk" 0 13.1295552 0.755017452768247 50
"32" "dsyrk" 256 "local" 6 "dsyrk" 4 13.1213386 0.764506524129635 50
"33" "dsyrk" 256 "local" 6 "dsyrk" 8 13.1309038 0.742654370558577 50
"34" "dsyrk" 256 "local" 6 "dsyrk" 12 13.1686462 0.763615125775961 50
"35" "dsyrk" 256 "local" 6 "dsyrk" 16 13.1543638 0.74987822378143 50
