"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dtrsm" 256 "local" 1 "dtrsm" 0 9.8368784 0.254152807460876 50
"2" "dtrsm" 256 "remote" 1 "dtrsm" 0 9.4979494 0.549455080009833 50
"3" "dtrsm" 256 "local" 2 "dtrsm" 0 9.759801 0.296945558421618 50
"4" "dtrsm" 256 "local" 2 "dtrsm" 4 9.7846778 0.303538746101477 50
"5" "dtrsm" 256 "remote" 2 "dtrsm" 0 9.8499962 0.269492391508895 50
"6" "dtrsm" 256 "remote" 2 "dtrsm" 4 9.8222964 0.275173893396855 50
"7" "dtrsm" 256 "local" 3 "dtrsm" 0 9.8002168 0.338146023217962 50
"8" "dtrsm" 256 "local" 3 "dtrsm" 4 9.803251 0.330031587704348 50
"9" "dtrsm" 256 "local" 3 "dtrsm" 8 9.800908 0.328366815401835 50
"10" "dtrsm" 256 "remote" 3 "dtrsm" 0 9.782789 0.295164767277256 50
"11" "dtrsm" 256 "remote" 3 "dtrsm" 4 9.8454412 0.279943481975508 50
"12" "dtrsm" 256 "remote" 3 "dtrsm" 8 9.8421008 0.288400479944122 50
"13" "dtrsm" 256 "local" 4 "dtrsm" 0 9.8164956 0.376856590794354 50
"14" "dtrsm" 256 "local" 4 "dtrsm" 4 9.798133 0.386768706552595 50
"15" "dtrsm" 256 "local" 4 "dtrsm" 8 9.7902984 0.383370170107169 50
"16" "dtrsm" 256 "local" 4 "dtrsm" 12 9.8281766 0.382674193509309 50
"17" "dtrsm" 256 "remote" 4 "dtrsm" 0 9.815882 0.324212801658392 50
"18" "dtrsm" 256 "remote" 4 "dtrsm" 4 9.7907998 0.311241289411693 50
"19" "dtrsm" 256 "remote" 4 "dtrsm" 8 9.7768898 0.291506707420923 50
"20" "dtrsm" 256 "remote" 4 "dtrsm" 12 9.8601782 0.31291806110559 50
"21" "dtrsm" 256 "local" 5 "dtrsm" 0 9.7937978 0.426360221199858 50
"22" "dtrsm" 256 "local" 5 "dtrsm" 4 9.7675856 0.411781704310348 50
"23" "dtrsm" 256 "local" 5 "dtrsm" 8 9.7637204 0.408313732968227 50
"24" "dtrsm" 256 "local" 5 "dtrsm" 12 9.8170786 0.426669264495753 50
"25" "dtrsm" 256 "local" 5 "dtrsm" 16 9.7854068 0.41978814396555 50
"26" "dtrsm" 256 "remote" 5 "dtrsm" 0 9.8171574 0.374136253145284 50
"27" "dtrsm" 256 "remote" 5 "dtrsm" 4 9.8272182 0.33387232814472 50
"28" "dtrsm" 256 "remote" 5 "dtrsm" 8 9.749875 0.361853350621661 50
"29" "dtrsm" 256 "remote" 5 "dtrsm" 12 9.8274262 0.341453922859711 50
"30" "dtrsm" 256 "remote" 5 "dtrsm" 16 9.8409646 0.366024574597144 50
"31" "dtrsm" 256 "local" 6 "dtrsm" 0 9.762134 0.456314366892664 50
"32" "dtrsm" 256 "local" 6 "dtrsm" 4 9.7343254 0.459854545522377 50
"33" "dtrsm" 256 "local" 6 "dtrsm" 8 9.7626936 0.458921866102254 50
"34" "dtrsm" 256 "local" 6 "dtrsm" 12 9.7867992 0.447151436703815 50
"35" "dtrsm" 256 "local" 6 "dtrsm" 16 9.7855876 0.446068507196473 50
"36" "dtrsm" 256 "local" 6 "dtrsm" 20 9.8109266 0.456952954134543 50
"37" "dtrsm" 256 "remote" 6 "dtrsm" 0 9.7619316 0.375208166121046 50
"38" "dtrsm" 256 "remote" 6 "dtrsm" 4 9.7941602 0.373303059268395 50
"39" "dtrsm" 256 "remote" 6 "dtrsm" 8 9.826725 0.351592435102675 50
"40" "dtrsm" 256 "remote" 6 "dtrsm" 12 9.8419246 0.362392529015943 50
"41" "dtrsm" 256 "remote" 6 "dtrsm" 16 9.8370886 0.342972475345965 50
"42" "dtrsm" 256 "remote" 6 "dtrsm" 20 9.814946 0.369104132483404 50
"43" "dtrsm" 256 "local" 7 "dtrsm" 0 9.5890984 0.551757849934856 50
"44" "dtrsm" 256 "local" 7 "dtrsm" 4 9.7403666 0.52774596979913 50
"45" "dtrsm" 256 "local" 7 "dtrsm" 8 9.7644668 0.491373561221096 50
"46" "dtrsm" 256 "local" 7 "dtrsm" 12 9.805971 0.494503020858068 50
"47" "dtrsm" 256 "local" 7 "dtrsm" 16 9.7925666 0.487589000468632 50
"48" "dtrsm" 256 "local" 7 "dtrsm" 20 9.80656 0.485504016103947 50
"49" "dtrsm" 256 "local" 7 "dtrsm" 24 9.8014522 0.473696447498408 50
"50" "dtrsm" 256 "remote" 7 "dtrsm" 0 9.737003 0.53457706271464 50
"51" "dtrsm" 256 "remote" 7 "dtrsm" 4 9.809817 0.371760839822473 50
"52" "dtrsm" 256 "remote" 7 "dtrsm" 8 9.7813274 0.376336442067196 50
"53" "dtrsm" 256 "remote" 7 "dtrsm" 12 9.8387418 0.388648351097724 50
"54" "dtrsm" 256 "remote" 7 "dtrsm" 16 9.8084692 0.375637684846579 50
"55" "dtrsm" 256 "remote" 7 "dtrsm" 20 9.8061666 0.38751069497083 50
"56" "dtrsm" 256 "remote" 7 "dtrsm" 24 9.7985844 0.384294051965631 50
"57" "dtrsm" 256 "local" 8 "dtrsm" 0 9.7728146 0.521869922143049 50
"58" "dtrsm" 256 "local" 8 "dtrsm" 4 9.7752926 0.523726743881165 50
"59" "dtrsm" 256 "local" 8 "dtrsm" 8 9.7936976 0.519887951956997 50
"60" "dtrsm" 256 "local" 8 "dtrsm" 12 9.7978634 0.528528815995101 50
"61" "dtrsm" 256 "local" 8 "dtrsm" 16 9.7229802 0.520469946116165 50
"62" "dtrsm" 256 "local" 8 "dtrsm" 20 9.811849 0.530236742848255 50
"63" "dtrsm" 256 "local" 8 "dtrsm" 24 9.775015 0.515347418564825 50
"64" "dtrsm" 256 "local" 8 "dtrsm" 28 9.7247314 0.488925242167565 50
