"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dgemm" 256 "local" 1 "dgemm" 0 29.5205222 3.03569469466437 50
"2" "dgemm" 256 "remote" 1 "dgemm" 0 29.6703308 3.0684611678786 50
"3" "dgemm" 256 "local" 2 "dgemm" 0 29.5256266 3.20086575150754 50
"4" "dgemm" 256 "local" 2 "dgemm" 4 29.5079614 3.20000633050522 50
"5" "dgemm" 256 "remote" 2 "dgemm" 0 29.6173228 3.2055888173486 50
"6" "dgemm" 256 "remote" 2 "dgemm" 4 29.5338528 3.19554178997453 50
"7" "dgemm" 256 "local" 3 "dgemm" 0 29.4676448 3.24611358535173 50
"8" "dgemm" 256 "local" 3 "dgemm" 4 29.4564972 3.23871122889138 50
"9" "dgemm" 256 "local" 3 "dgemm" 8 29.4440984 3.23763123428058 50
"10" "dgemm" 256 "remote" 3 "dgemm" 0 29.5849536 3.21028728338323 50
"11" "dgemm" 256 "remote" 3 "dgemm" 4 29.520284 3.20151512277725 50
"12" "dgemm" 256 "remote" 3 "dgemm" 8 29.6076016 3.21320759936513 50
"13" "dgemm" 256 "local" 4 "dgemm" 0 29.5546602 3.23636925078182 50
"14" "dgemm" 256 "local" 4 "dgemm" 4 29.4160666 3.3142813353146 50
"15" "dgemm" 256 "local" 4 "dgemm" 8 29.5519144 3.29898187661053 50
"16" "dgemm" 256 "local" 4 "dgemm" 12 29.677879 3.25223870772888 50
"17" "dgemm" 256 "remote" 4 "dgemm" 0 29.572949 3.20605252402151 50
"18" "dgemm" 256 "remote" 4 "dgemm" 4 29.5372104 3.20454206756531 50
"19" "dgemm" 256 "remote" 4 "dgemm" 8 29.5780458 3.2087059817011 50
"20" "dgemm" 256 "remote" 4 "dgemm" 12 29.6685672 3.21513163598798 50
"21" "dgemm" 256 "local" 5 "dgemm" 0 29.5110876 3.22156764877076 50
"22" "dgemm" 256 "local" 5 "dgemm" 4 29.5386824 3.22975271440751 50
"23" "dgemm" 256 "local" 5 "dgemm" 8 29.5686012 3.22890213691686 50
"24" "dgemm" 256 "local" 5 "dgemm" 12 29.647492 3.23838064797194 50
"25" "dgemm" 256 "local" 5 "dgemm" 16 29.5783386 3.22924315134336 50
"26" "dgemm" 256 "remote" 5 "dgemm" 0 29.6078316 3.24888284817925 50
"27" "dgemm" 256 "remote" 5 "dgemm" 4 29.4361806 3.3565577378426 50
"28" "dgemm" 256 "remote" 5 "dgemm" 8 29.2923262 3.72495600910273 50
"29" "dgemm" 256 "remote" 5 "dgemm" 12 29.6490554 3.25089382356777 50
"30" "dgemm" 256 "remote" 5 "dgemm" 16 29.654137 3.258023561271 50
"31" "dgemm" 256 "local" 6 "dgemm" 0 29.3627082 3.32089402506755 50
"32" "dgemm" 256 "local" 6 "dgemm" 4 29.4561234 3.23455321669991 50
