"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dpotrf" 256 "local" 1 "dpotrf" 0 13.6235114 1.64616605049555 50
"2" "dpotrf" 256 "remote" 1 "dpotrf" 0 13.540605 1.62596267291072 50
"3" "dpotrf" 256 "local" 2 "dpotrf" 0 13.5730538 1.65254051672444 50
"4" "dpotrf" 256 "local" 2 "dpotrf" 4 13.6419652 1.67059551984295 50
"5" "dpotrf" 256 "remote" 2 "dpotrf" 0 13.7228184 1.66729061515291 50
"6" "dpotrf" 256 "remote" 2 "dpotrf" 4 13.6789894 1.6612201226028 50
"7" "dpotrf" 256 "local" 3 "dpotrf" 0 13.6087654 1.69414352851373 50
"8" "dpotrf" 256 "local" 3 "dpotrf" 4 13.6695202 1.69263316005697 50
"9" "dpotrf" 256 "local" 3 "dpotrf" 8 13.5512878 1.67608891004647 50
"10" "dpotrf" 256 "remote" 3 "dpotrf" 0 13.7569358 1.6915411840409 50
"11" "dpotrf" 256 "remote" 3 "dpotrf" 4 13.6730904 1.67950077039305 50
"12" "dpotrf" 256 "remote" 3 "dpotrf" 8 13.697539 1.68295857526262 50
"13" "dpotrf" 256 "local" 4 "dpotrf" 0 13.521999 1.6515735912132 50
"14" "dpotrf" 256 "local" 4 "dpotrf" 4 13.5917536 1.66864893745339 50
"15" "dpotrf" 256 "local" 4 "dpotrf" 8 13.6141244 1.66274979306552 50
"16" "dpotrf" 256 "local" 4 "dpotrf" 12 13.7191222 1.67845439324189 50
"17" "dpotrf" 256 "remote" 4 "dpotrf" 0 13.705797 1.66425846146939 50
"18" "dpotrf" 256 "remote" 4 "dpotrf" 4 13.6780334 1.65555573666566 50
"19" "dpotrf" 256 "remote" 4 "dpotrf" 8 13.5994594 1.64484283382 50
"20" "dpotrf" 256 "remote" 4 "dpotrf" 12 13.8500982 1.68299919297359 50
"21" "dpotrf" 256 "local" 5 "dpotrf" 0 13.621845 1.70647096748894 50
"22" "dpotrf" 256 "local" 5 "dpotrf" 4 13.4203858 1.68654247132772 50
"23" "dpotrf" 256 "local" 5 "dpotrf" 8 13.5959802 1.70038847183607 50
"24" "dpotrf" 256 "local" 5 "dpotrf" 12 13.748505 1.7252611041151 50
"25" "dpotrf" 256 "local" 5 "dpotrf" 16 13.7286288 1.72127820782618 50
"26" "dpotrf" 256 "remote" 5 "dpotrf" 0 13.6602882 1.70520626062906 50
"27" "dpotrf" 256 "remote" 5 "dpotrf" 4 13.6961474 1.7072092142666 50
"28" "dpotrf" 256 "remote" 5 "dpotrf" 8 13.6650578 1.70269269761498 50
"29" "dpotrf" 256 "remote" 5 "dpotrf" 12 13.6740248 1.70648223288734 50
"30" "dpotrf" 256 "remote" 5 "dpotrf" 16 13.8031908 1.72413053042578 50
"31" "dpotrf" 256 "local" 6 "dpotrf" 0 13.5066096 1.98997888546276 50
"32" "dpotrf" 256 "local" 6 "dpotrf" 4 13.5712786 1.70257160127539 50
"33" "dpotrf" 256 "local" 6 "dpotrf" 8 13.712733 1.7168361512877 50
"34" "dpotrf" 256 "local" 6 "dpotrf" 12 13.6011272 1.77800932715241 50
"35" "dpotrf" 256 "local" 6 "dpotrf" 16 13.689183 1.71523124607477 50
"36" "dpotrf" 256 "local" 6 "dpotrf" 20 13.7101036 1.71580766656639 50
"37" "dpotrf" 256 "remote" 6 "dpotrf" 0 13.8196688 1.67560155807002 50
"38" "dpotrf" 256 "remote" 6 "dpotrf" 4 13.6662082 1.6601030529651 50
"39" "dpotrf" 256 "remote" 6 "dpotrf" 8 13.7564412 1.67057484454883 50
"40" "dpotrf" 256 "remote" 6 "dpotrf" 12 13.863464 1.68274027908077 50
"41" "dpotrf" 256 "remote" 6 "dpotrf" 16 13.71581764 1.86595372597635 50
"42" "dpotrf" 256 "remote" 6 "dpotrf" 20 13.7697564 1.6701852355863 50
"43" "dpotrf" 256 "local" 7 "dpotrf" 0 13.5906282 1.71326770879711 50
"44" "dpotrf" 256 "local" 7 "dpotrf" 4 13.6475926 1.72039813250591 50
"45" "dpotrf" 256 "local" 7 "dpotrf" 8 13.706477 1.72872908853644 50
"46" "dpotrf" 256 "local" 7 "dpotrf" 12 13.6829252 1.72568678239583 50
"47" "dpotrf" 256 "local" 7 "dpotrf" 16 13.7335838 1.7328375726782 50
"48" "dpotrf" 256 "local" 7 "dpotrf" 20 13.6906968 1.72651417912396 50
"49" "dpotrf" 256 "local" 7 "dpotrf" 24 13.625469 1.71819856669147 50
"50" "dpotrf" 256 "remote" 7 "dpotrf" 0 13.603103 1.69015463494967 50
"51" "dpotrf" 256 "remote" 7 "dpotrf" 4 13.6325134 1.69490102379088 50
"52" "dpotrf" 256 "remote" 7 "dpotrf" 8 13.5267794 1.67905006550826 50
"53" "dpotrf" 256 "remote" 7 "dpotrf" 12 13.744377 1.707403675928 50
"54" "dpotrf" 256 "remote" 7 "dpotrf" 16 13.7458686 1.70597088293454 50
"55" "dpotrf" 256 "remote" 7 "dpotrf" 20 13.705443 1.70416533025941 50
"56" "dpotrf" 256 "remote" 7 "dpotrf" 24 13.5911158 1.68541453306832 50
"57" "dpotrf" 256 "local" 8 "dpotrf" 0 13.538714 1.74700444376501 50
"58" "dpotrf" 256 "local" 8 "dpotrf" 4 13.5582174 1.72058563387742 50
"59" "dpotrf" 256 "local" 8 "dpotrf" 8 13.5609816 1.71976506258239 50
"60" "dpotrf" 256 "local" 8 "dpotrf" 12 13.708533 1.74128902715277 50
"61" "dpotrf" 256 "local" 8 "dpotrf" 16 13.6687854 1.73504824301711 50
"62" "dpotrf" 256 "local" 8 "dpotrf" 20 13.6978612 1.73885790263544 50
"63" "dpotrf" 256 "local" 8 "dpotrf" 24 13.6167338 1.7275708336875 50
"64" "dpotrf" 256 "local" 8 "dpotrf" 28 13.5570532 1.7188018395245 50
"65" "dpotrf" 256 "remote" 8 "dpotrf" 0 13.6217186 1.72259786486362 50
"66" "dpotrf" 256 "remote" 8 "dpotrf" 4 13.6176256 1.73511076320929 50
"67" "dpotrf" 256 "remote" 8 "dpotrf" 8 13.5750014 1.72756683479089 50
"68" "dpotrf" 256 "remote" 8 "dpotrf" 12 13.7415056 1.73788999335302 50
"69" "dpotrf" 256 "remote" 8 "dpotrf" 16 13.6304478 1.72278620735192 50
"70" "dpotrf" 256 "remote" 8 "dpotrf" 20 13.7688028 1.74324483952038 50
"71" "dpotrf" 256 "remote" 8 "dpotrf" 24 13.6310558 1.72099754522242 50
"72" "dpotrf" 256 "remote" 8 "dpotrf" 28 13.5261446 1.72489224015643 50
"73" "dpotrf" 256 "local" 9 "dpotrf" 0 13.5792282 1.72682768570849 50
"74" "dpotrf" 256 "local" 9 "dpotrf" 4 13.4128764 1.70559055225152 50
"75" "dpotrf" 256 "local" 9 "dpotrf" 8 13.503771 1.7189556130398 50
"76" "dpotrf" 256 "local" 9 "dpotrf" 12 13.7416374 1.75161490511344 50
"77" "dpotrf" 256 "local" 9 "dpotrf" 16 13.6801764 1.74357035161523 50
"78" "dpotrf" 256 "local" 9 "dpotrf" 20 13.697851 1.74461454091628 50
"79" "dpotrf" 256 "local" 9 "dpotrf" 24 13.646113 1.736986223989 50
"80" "dpotrf" 256 "local" 9 "dpotrf" 28 13.5432156 1.72158633849793 50
"81" "dpotrf" 256 "local" 9 "dpotrf" 32 13.6019878 1.73287525005649 50
"82" "dpotrf" 256 "remote" 9 "dpotrf" 0 13.754916 1.68570845427078 50
"83" "dpotrf" 256 "remote" 9 "dpotrf" 4 13.6598036 1.6756919720823 50
"84" "dpotrf" 256 "remote" 9 "dpotrf" 8 13.6704546 1.67472695046357 50
"85" "dpotrf" 256 "remote" 9 "dpotrf" 12 13.8178396 1.70060204166709 50
"86" "dpotrf" 256 "remote" 9 "dpotrf" 16 13.6377004 1.67096031604701 50
"87" "dpotrf" 256 "remote" 9 "dpotrf" 20 13.7328846 1.68868839404567 50
"88" "dpotrf" 256 "remote" 9 "dpotrf" 24 13.729422 1.68249116846274 50
"89" "dpotrf" 256 "remote" 9 "dpotrf" 28 13.6859926 1.67865633819386 50
"90" "dpotrf" 256 "remote" 9 "dpotrf" 32 13.6972722 1.68284226450771 50
"91" "dpotrf" 256 "local" 10 "dpotrf" 0 13.5719242 1.72744369397484 50
"92" "dpotrf" 256 "local" 10 "dpotrf" 4 13.4889344 1.7152810994907 50
"93" "dpotrf" 256 "local" 10 "dpotrf" 8 13.5124116 1.71881324287162 50
"94" "dpotrf" 256 "local" 10 "dpotrf" 12 13.6816454 1.74304051964939 50
"95" "dpotrf" 256 "local" 10 "dpotrf" 16 13.6615452 1.74073637953883 50
"96" "dpotrf" 256 "local" 10 "dpotrf" 20 13.7588058 1.75435419473377 50
"97" "dpotrf" 256 "local" 10 "dpotrf" 24 13.5762158 1.72806811469126 50
"98" "dpotrf" 256 "local" 10 "dpotrf" 28 13.6114422 1.73268925117103 50
"99" "dpotrf" 256 "local" 10 "dpotrf" 32 13.4619212 1.71596147319583 50
"100" "dpotrf" 256 "local" 10 "dpotrf" 36 13.7216052 1.74957725453805 50
"101" "dpotrf" 256 "remote" 10 "dpotrf" 0 13.5994496 1.67335451473607 50
"102" "dpotrf" 256 "remote" 10 "dpotrf" 4 13.5245004 1.65935397269596 50
"103" "dpotrf" 256 "remote" 10 "dpotrf" 8 13.538266 1.66245455909787 50
"104" "dpotrf" 256 "remote" 10 "dpotrf" 12 13.5345832 1.66349275345758 50
"105" "dpotrf" 256 "remote" 10 "dpotrf" 16 13.6421452 1.67860232415 50
"106" "dpotrf" 256 "remote" 10 "dpotrf" 20 13.6339828 1.67994795366907 50
"107" "dpotrf" 256 "remote" 10 "dpotrf" 24 13.4781624 1.65432873595497 50
"108" "dpotrf" 256 "remote" 10 "dpotrf" 28 13.5779774 1.66898869773604 50
"109" "dpotrf" 256 "remote" 10 "dpotrf" 32 13.5615782 1.66819401682238 50
"110" "dpotrf" 256 "remote" 10 "dpotrf" 36 13.6636984 1.68212628637438 50
"111" "dpotrf" 256 "local" 11 "dpotrf" 0 13.4693348 1.69068777531903 50
"112" "dpotrf" 256 "local" 11 "dpotrf" 4 13.4141056 1.69497338962215 50
"113" "dpotrf" 256 "local" 11 "dpotrf" 8 13.449486 1.68676560630585 50
"114" "dpotrf" 256 "local" 11 "dpotrf" 12 13.5508884 1.70263746525059 50
"115" "dpotrf" 256 "local" 11 "dpotrf" 16 13.5103992 1.69742709662552 50
"116" "dpotrf" 256 "local" 11 "dpotrf" 20 13.5793646 1.70713674706762 50
"117" "dpotrf" 256 "local" 11 "dpotrf" 24 13.44394 1.68626359452017 50
"118" "dpotrf" 256 "local" 11 "dpotrf" 28 13.4373154 1.68635474925883 50
"119" "dpotrf" 256 "local" 11 "dpotrf" 32 13.4632806 1.68890785046095 50
"120" "dpotrf" 256 "local" 11 "dpotrf" 36 13.4969094 1.69626102412601 50
"121" "dpotrf" 256 "local" 11 "dpotrf" 40 13.6246988 1.7126289508401 50
"122" "dpotrf" 256 "remote" 11 "dpotrf" 0 13.518055 1.64847585147088 50
"123" "dpotrf" 256 "remote" 11 "dpotrf" 4 13.4974264 1.64740997258933 50
"124" "dpotrf" 256 "remote" 11 "dpotrf" 8 13.4388242 1.63581030653174 50
