"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dsyrk" 256 "local" 1 "dsyrk" 0 25.5993496 2.91411765847163 50
"2" "dsyrk" 256 "remote" 1 "dsyrk" 0 25.6285438 2.92493181351599 50
"3" "dsyrk" 256 "local" 2 "dsyrk" 0 25.588407 3.05989009533206 50
"4" "dsyrk" 256 "local" 2 "dsyrk" 4 25.5354238 3.05126767211489 50
"5" "dsyrk" 256 "remote" 2 "dsyrk" 0 25.6364244 3.00056145317136 50
"6" "dsyrk" 256 "remote" 2 "dsyrk" 4 25.5829146 2.9925896364126 50
"7" "dsyrk" 256 "local" 3 "dsyrk" 0 25.5329746 3.06551013145511 50
"8" "dsyrk" 256 "local" 3 "dsyrk" 4 25.5380528 3.07075048527564 50
"9" "dsyrk" 256 "local" 3 "dsyrk" 8 25.5316036 3.06587680546376 50
"10" "dsyrk" 256 "remote" 3 "dsyrk" 0 25.6621296 3.01184972390719 50
"11" "dsyrk" 256 "remote" 3 "dsyrk" 4 25.6413274 3.00871412358442 50
"12" "dsyrk" 256 "remote" 3 "dsyrk" 8 25.5886482 3.00249064927409 50
"13" "dsyrk" 256 "local" 4 "dsyrk" 0 25.5291542 3.05465199075055 50
"14" "dsyrk" 256 "local" 4 "dsyrk" 4 25.5573136 3.0596815670554 50
"15" "dsyrk" 256 "local" 4 "dsyrk" 8 25.5508902 3.05959052861019 50
"16" "dsyrk" 256 "local" 4 "dsyrk" 12 25.6608382 3.07568232262981 50
"17" "dsyrk" 256 "remote" 4 "dsyrk" 0 25.6054262 3.0001606576158 50
"18" "dsyrk" 256 "remote" 4 "dsyrk" 4 25.6337988 3.00132930943338 50
"19" "dsyrk" 256 "remote" 4 "dsyrk" 8 25.6173782 3.00049513540661 50
"20" "dsyrk" 256 "remote" 4 "dsyrk" 12 25.7456606 3.0180996978004 50
"21" "dsyrk" 256 "local" 5 "dsyrk" 0 25.5214756 3.09293634277556 50
"22" "dsyrk" 256 "local" 5 "dsyrk" 4 25.5012514 3.09689584029703 50
"23" "dsyrk" 256 "local" 5 "dsyrk" 8 25.5863072 3.10031203770902 50
"24" "dsyrk" 256 "local" 5 "dsyrk" 12 25.6336768 3.10627131258713 50
"25" "dsyrk" 256 "local" 5 "dsyrk" 16 25.643164 3.10900663981804 50
"26" "dsyrk" 256 "remote" 5 "dsyrk" 0 25.60052 3.07851578617266 50
"27" "dsyrk" 256 "remote" 5 "dsyrk" 4 25.5367266 3.0653589649352 50
"28" "dsyrk" 256 "remote" 5 "dsyrk" 8 25.561757 3.07139410432505 50
"29" "dsyrk" 256 "remote" 5 "dsyrk" 12 25.672027 3.08632936851202 50
"30" "dsyrk" 256 "remote" 5 "dsyrk" 16 25.681783 3.08652697081896 50
"31" "dsyrk" 256 "local" 6 "dsyrk" 0 25.502117 3.09385486549316 50
"32" "dsyrk" 256 "local" 6 "dsyrk" 4 25.4816796 3.09406224350538 50
"33" "dsyrk" 256 "local" 6 "dsyrk" 8 25.4997978 3.09057511326481 50
"34" "dsyrk" 256 "local" 6 "dsyrk" 12 25.6351466 3.1103280053958 50
"35" "dsyrk" 256 "local" 6 "dsyrk" 16 25.5989692 3.1054719291302 50
"36" "dsyrk" 256 "local" 6 "dsyrk" 20 25.6188734 3.10777166335322 50
"37" "dsyrk" 256 "remote" 6 "dsyrk" 0 25.6056926 3.08922581766596 50
"38" "dsyrk" 256 "remote" 6 "dsyrk" 4 25.5649922 3.08452090741939 50
"39" "dsyrk" 256 "remote" 6 "dsyrk" 8 25.5717692 3.08699138175406 50
"40" "dsyrk" 256 "remote" 6 "dsyrk" 12 25.6677558 3.09983136272854 50
"41" "dsyrk" 256 "remote" 6 "dsyrk" 16 25.653565 3.09494617239549 50
"42" "dsyrk" 256 "remote" 6 "dsyrk" 20 25.6826008 3.10159676692561 50
"43" "dsyrk" 256 "local" 7 "dsyrk" 0 25.5729322 3.10294409255395 50
"44" "dsyrk" 256 "local" 7 "dsyrk" 4 25.5510674 3.1001084139231 50
"45" "dsyrk" 256 "local" 7 "dsyrk" 8 25.558599 3.10078902622414 50
"46" "dsyrk" 256 "local" 7 "dsyrk" 12 25.6390408 3.11203997595897 50
"47" "dsyrk" 256 "local" 7 "dsyrk" 16 25.6243552 3.10909900367256 50
"48" "dsyrk" 256 "local" 7 "dsyrk" 20 25.652506 3.11381879005671 50
