"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dtrsm" 256 "local" 1 "dtrsm" 0 26.503282 3.05359642607579 50
"2" "dtrsm" 256 "remote" 1 "dtrsm" 0 26.4633444 3.02981837229538 50
"3" "dtrsm" 256 "local" 2 "dtrsm" 0 26.4290274 3.1811507050872 50
"4" "dtrsm" 256 "local" 2 "dtrsm" 4 26.4808802 3.18555709668734 50
"5" "dtrsm" 256 "remote" 2 "dtrsm" 0 26.4226174 3.13856768923557 50
"6" "dtrsm" 256 "remote" 2 "dtrsm" 4 26.4165714 3.14036438202282 50
"7" "dtrsm" 256 "local" 3 "dtrsm" 0 26.5514962 3.22852774790735 50
"8" "dtrsm" 256 "local" 3 "dtrsm" 4 26.3513344 3.20831991142173 50
"9" "dtrsm" 256 "local" 3 "dtrsm" 8 26.4218764 3.20929600193115 50
"10" "dtrsm" 256 "remote" 3 "dtrsm" 0 26.3347424 3.18226706838711 50
"11" "dtrsm" 256 "remote" 3 "dtrsm" 4 26.3418802 3.18242295346562 50
"12" "dtrsm" 256 "remote" 3 "dtrsm" 8 26.3899816 3.19214198257659 50
"13" "dtrsm" 256 "local" 4 "dtrsm" 0 26.3161342 3.18024405935995 50
"14" "dtrsm" 256 "local" 4 "dtrsm" 4 26.3040394 3.18323201073196 50
"15" "dtrsm" 256 "local" 4 "dtrsm" 8 26.1965502 3.16086438446536 50
"16" "dtrsm" 256 "local" 4 "dtrsm" 12 26.6231 3.21780281774343 50
"17" "dtrsm" 256 "remote" 4 "dtrsm" 0 26.3892298 3.21400576256325 50
"18" "dtrsm" 256 "remote" 4 "dtrsm" 4 26.3790592 3.21540379587033 50
"19" "dtrsm" 256 "remote" 4 "dtrsm" 8 26.3409952 3.20926823012772 50
"20" "dtrsm" 256 "remote" 4 "dtrsm" 12 26.5586302 3.2401795389047 50
"21" "dtrsm" 256 "local" 5 "dtrsm" 0 26.1762824 3.22346186305811 50
"22" "dtrsm" 256 "local" 5 "dtrsm" 4 26.2300274 3.22998477889053 50
"23" "dtrsm" 256 "local" 5 "dtrsm" 8 26.2656214 3.23391969298774 50
"24" "dtrsm" 256 "local" 5 "dtrsm" 12 26.4455836 3.25827573234351 50
"25" "dtrsm" 256 "local" 5 "dtrsm" 16 26.4056782 3.25506196430671 50
"26" "dtrsm" 256 "remote" 5 "dtrsm" 0 26.285102 3.21394848811888 50
"27" "dtrsm" 256 "remote" 5 "dtrsm" 4 26.3415358 3.2224323674669 50
"28" "dtrsm" 256 "remote" 5 "dtrsm" 8 26.2710316 3.21103180564546 50
"29" "dtrsm" 256 "remote" 5 "dtrsm" 12 26.4697734 3.2429203931765 50
"30" "dtrsm" 256 "remote" 5 "dtrsm" 16 26.4959162 3.24483881018161 50
"31" "dtrsm" 256 "local" 6 "dtrsm" 0 26.3090822 3.22547986490433 50
"32" "dtrsm" 256 "local" 6 "dtrsm" 4 26.2958274 3.23369843388234 50
"33" "dtrsm" 256 "local" 6 "dtrsm" 8 26.291612 3.22187972581351 50
"34" "dtrsm" 256 "local" 6 "dtrsm" 12 26.4337746 3.24209091533831 50
"35" "dtrsm" 256 "local" 6 "dtrsm" 16 26.498898 3.25299974212123 50
"36" "dtrsm" 256 "local" 6 "dtrsm" 20 26.5939508 3.26292456845072 50
"37" "dtrsm" 256 "remote" 6 "dtrsm" 0 26.3446574 3.20893704898208 50
"38" "dtrsm" 256 "remote" 6 "dtrsm" 4 26.3493242 3.20966126642678 50
"39" "dtrsm" 256 "remote" 6 "dtrsm" 8 26.4719068 3.22660493404979 50
"40" "dtrsm" 256 "remote" 6 "dtrsm" 12 26.5635238 3.24048235708311 50
"41" "dtrsm" 256 "remote" 6 "dtrsm" 16 26.4814056 3.23063839768372 50
"42" "dtrsm" 256 "remote" 6 "dtrsm" 20 26.5694996 3.2395947533679 50
"43" "dtrsm" 256 "local" 7 "dtrsm" 0 26.3975144 3.2405579227495 50
"44" "dtrsm" 256 "local" 7 "dtrsm" 4 26.3930114 3.23971184754926 50
"45" "dtrsm" 256 "local" 7 "dtrsm" 8 26.3842756 3.2387734095772 50
"46" "dtrsm" 256 "local" 7 "dtrsm" 12 26.4939892 3.25433339053803 50
"47" "dtrsm" 256 "local" 7 "dtrsm" 16 26.5524126 3.26235422852684 50
"48" "dtrsm" 256 "local" 7 "dtrsm" 20 26.5314026 3.26099246008103 50
"49" "dtrsm" 256 "local" 7 "dtrsm" 24 26.2808136 3.44561855875424 50
"50" "dtrsm" 256 "remote" 7 "dtrsm" 0 26.3107214 3.23374623148965 50
"51" "dtrsm" 256 "remote" 7 "dtrsm" 4 26.322523 3.23820648572711 50
"52" "dtrsm" 256 "remote" 7 "dtrsm" 8 26.353691 3.23878764136933 50
"53" "dtrsm" 256 "remote" 7 "dtrsm" 12 26.4739298 3.25453773147993 50
"54" "dtrsm" 256 "remote" 7 "dtrsm" 16 26.4131474 3.24639086674494 50
"55" "dtrsm" 256 "remote" 7 "dtrsm" 20 26.5634208 3.26892470695708 50
"56" "dtrsm" 256 "remote" 7 "dtrsm" 24 26.4537066 3.24998494350271 50
"57" "dtrsm" 256 "local" 8 "dtrsm" 0 26.403331 3.25735738154585 50
"58" "dtrsm" 256 "local" 8 "dtrsm" 4 26.3158854 3.25392174763303 50
"59" "dtrsm" 256 "local" 8 "dtrsm" 8 26.3365158 3.24989354651282 50
"60" "dtrsm" 256 "local" 8 "dtrsm" 12 26.5490022 3.27821323892053 50
"61" "dtrsm" 256 "local" 8 "dtrsm" 16 26.5005054 3.26982119207015 50
"62" "dtrsm" 256 "local" 8 "dtrsm" 20 26.5521822 3.2778293970941 50
"63" "dtrsm" 256 "local" 8 "dtrsm" 24 26.3636194 3.25051998699261 50
"64" "dtrsm" 256 "local" 8 "dtrsm" 28 26.2680652 3.24006979259375 50
"65" "dtrsm" 256 "remote" 8 "dtrsm" 0 26.185811 3.23839318961423 50
"66" "dtrsm" 256 "remote" 8 "dtrsm" 4 25.991728 3.62571811510774 50
"67" "dtrsm" 256 "remote" 8 "dtrsm" 8 26.2952592 3.24893753197266 50
"68" "dtrsm" 256 "remote" 8 "dtrsm" 12 26.3665202 3.25888659981332 50
"69" "dtrsm" 256 "remote" 8 "dtrsm" 16 26.4388314 3.27352328580167 50
"70" "dtrsm" 256 "remote" 8 "dtrsm" 20 26.4375568 3.27530498401166 50
"71" "dtrsm" 256 "remote" 8 "dtrsm" 24 26.2994836 3.25229310604873 50
"72" "dtrsm" 256 "remote" 8 "dtrsm" 28 26.3668378 3.26265995548974 50
"73" "dtrsm" 256 "local" 9 "dtrsm" 0 26.1486016 3.2558803524445 50
"74" "dtrsm" 256 "local" 9 "dtrsm" 4 26.070569 3.24309630079239 50
"75" "dtrsm" 256 "local" 9 "dtrsm" 8 26.1996784 3.25789878541078 50
"76" "dtrsm" 256 "local" 9 "dtrsm" 12 26.4064128 3.28839589865856 50
"77" "dtrsm" 256 "local" 9 "dtrsm" 16 26.2830094 3.27438351601779 50
"78" "dtrsm" 256 "local" 9 "dtrsm" 20 26.3631926 3.28205915248514 50
"79" "dtrsm" 256 "local" 9 "dtrsm" 24 26.1410836 3.25350145138783 50
"80" "dtrsm" 256 "local" 9 "dtrsm" 28 26.1025938 3.24472374631832 50
"81" "dtrsm" 256 "local" 9 "dtrsm" 32 26.0700758 3.24434062983282 50
"82" "dtrsm" 256 "remote" 9 "dtrsm" 0 26.169986 3.23847385825736 50
"83" "dtrsm" 256 "remote" 9 "dtrsm" 4 26.2033708 3.24305617939524 50
"84" "dtrsm" 256 "remote" 9 "dtrsm" 8 26.1637854 3.23886235896042 50
"85" "dtrsm" 256 "remote" 9 "dtrsm" 12 26.2519854 3.24707318223357 50
"86" "dtrsm" 256 "remote" 9 "dtrsm" 16 26.4230046 3.27037075683789 50
"87" "dtrsm" 256 "remote" 9 "dtrsm" 20 26.3921808 3.26992425625054 50
"88" "dtrsm" 256 "remote" 9 "dtrsm" 24 26.1876914 3.24471908569062 50
"89" "dtrsm" 256 "remote" 9 "dtrsm" 28 26.1976872 3.24331448634493 50
"90" "dtrsm" 256 "remote" 9 "dtrsm" 32 26.2536298 3.24780354474515 50
"91" "dtrsm" 256 "local" 10 "dtrsm" 0 26.3949258 3.24754380571174 50
"92" "dtrsm" 256 "local" 10 "dtrsm" 4 26.2790672 3.2323693888849 50
"93" "dtrsm" 256 "local" 10 "dtrsm" 8 26.2965328 3.23754342054504 50
"94" "dtrsm" 256 "local" 10 "dtrsm" 12 26.3939434 3.24829563473323 50
"95" "dtrsm" 256 "local" 10 "dtrsm" 16 26.5397384 3.26948669261041 50
"96" "dtrsm" 256 "local" 10 "dtrsm" 20 26.4012746 3.2492062694199 50
"97" "dtrsm" 256 "local" 10 "dtrsm" 24 26.3133198 3.23766231806946 50
"98" "dtrsm" 256 "local" 10 "dtrsm" 28 26.2569798 3.2301834457722 50
"99" "dtrsm" 256 "local" 10 "dtrsm" 32 26.2740538 3.23238485117564 50
"100" "dtrsm" 256 "local" 10 "dtrsm" 36 26.4496228 3.25653867549771 50
"101" "dtrsm" 256 "remote" 10 "dtrsm" 0 26.446613 3.13047949653818 50
"102" "dtrsm" 256 "remote" 10 "dtrsm" 4 26.3090802 3.11980876019897 50
"103" "dtrsm" 256 "remote" 10 "dtrsm" 8 26.3554892 3.11742054879942 50
"104" "dtrsm" 256 "remote" 10 "dtrsm" 12 26.518071 3.13621888328712 50
"105" "dtrsm" 256 "remote" 10 "dtrsm" 16 26.4826786 3.13550097145576 50
"106" "dtrsm" 256 "remote" 10 "dtrsm" 20 26.3408892 3.33174881455691 50
"107" "dtrsm" 256 "remote" 10 "dtrsm" 24 26.4594066 3.13057334143386 50
"108" "dtrsm" 256 "remote" 10 "dtrsm" 28 26.3927678 3.12012330842234 50
"109" "dtrsm" 256 "remote" 10 "dtrsm" 32 26.4960544 3.13562592695046 50
"110" "dtrsm" 256 "remote" 10 "dtrsm" 36 26.6307022 3.15387752857044 50
