"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"1" "dgemm" 64 "local" 1 "dgemm" 0 14.6730268 75614.7 3437.26 1.8323362642984 50
"2" "dgemm" 64 "local" 2 "dgemm" 0 14.9113142857143 74276.7755102041 3376.77551020408 0.470264068547307 49
"3" "dgemm" 64 "local" 2 "dgemm" 4 14.7583530612245 74975.6734693878 3408.22448979592 0.473814387929687 49
"4" "dgemm" 64 "local" 3 "dgemm" 0 14.7220524489796 74796.1020408163 3400 0.980409724703849 49
"5" "dgemm" 64 "local" 3 "dgemm" 4 14.628693877551 75044.7346938775 3412.40816326531 0.891453668736296 49
"6" "dgemm" 64 "local" 3 "dgemm" 8 14.7661897959184 74904.387755102 3405.65306122449 0.546211748182004 49
"7" "dgemm" 64 "local" 4 "dgemm" 0 14.2883254 76853.6 3491.34 2.15849507573501 50
"8" "dgemm" 64 "local" 4 "dgemm" 4 14.0959604081633 78068.2857142857 3548.61224489796 1.20314841183102 49
"9" "dgemm" 64 "local" 4 "dgemm" 8 14.5365285714286 75242.0612244898 3420.36734693878 1.06297738549949 49
"10" "dgemm" 64 "local" 4 "dgemm" 12 13.9992092 76850.22 3494.42 2.79203532640788 50
"11" "dgemm" 64 "local" 5 "dgemm" 0 14.6340258 75334.32 3424.48 1.97186577003535 50
"12" "dgemm" 64 "local" 5 "dgemm" 4 14.7072755102041 74997.8367346939 3410.02040816327 0.635578686949478 49
"13" "dgemm" 64 "local" 5 "dgemm" 8 14.7626163265306 74963.3265306122 3407.40816326531 0.667014840647911 49
"14" "dgemm" 64 "local" 5 "dgemm" 12 14.762363 75014.22 3410.1 1.94809429309172 50
"15" "dgemm" 64 "local" 5 "dgemm" 16 14.6906008 75013.52 3410.14 1.9847802541893 50
"16" "dgemm" 64 "local" 6 "dgemm" 0 14.52203 75790.8775510204 3446.73469387755 1.00852721499802 49
"17" "dgemm" 64 "local" 6 "dgemm" 4 14.4838089795918 75600.5714285714 3436.79591836735 0.892223511674263 49
"18" "dgemm" 64 "local" 6 "dgemm" 8 14.0993342857143 78071.4693877551 3548.73469387755 0.980968750062916 49
"19" "dgemm" 64 "local" 6 "dgemm" 12 14.3873462 76550.82 3479.84 2.11504720988357 50
"20" "dgemm" 64 "local" 6 "dgemm" 16 14.2085868 77157.54 3507.38 2.12227664736258 50
"21" "dgemm" 64 "local" 6 "dgemm" 20 14.3565272 76898.5 3495.4 2.08859948458686 50
"22" "dgemm" 64 "local" 7 "dgemm" 0 14.5572367346939 76029.8571428571 3456.30612244898 0.820456004227191 49
"23" "dgemm" 64 "local" 7 "dgemm" 4 14.2813183673469 77356.9795918367 3516.57142857143 0.848712444842546 49
"24" "dgemm" 64 "local" 7 "dgemm" 8 14.5798734693878 75864.306122449 3448.87755102041 0.753621437564287 49
"25" "dgemm" 64 "local" 7 "dgemm" 12 14.3368238 76719.68 3487.3 1.98182461927046 50
