"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"1" "dpotrf" 64 "local" 1 "dpotrf" 0 3.36841755102041 44037.2040816327 2001.69387755102 0.0443847579661181 49
"2" "dpotrf" 64 "local" 2 "dpotrf" 0 3.22765168 46888.1 2131.38 0.46598843007085 50
"3" "dpotrf" 64 "local" 2 "dpotrf" 4 3.23079524 47128.88 2141.92 0.469946848898918 50
"4" "dpotrf" 64 "local" 3 "dpotrf" 0 3.23096738 46417.9 2110.02 0.484870824175984 50
"5" "dpotrf" 64 "local" 3 "dpotrf" 4 3.28645979591837 44999.612244898 2045.32653061224 0.209260484658573 49
"6" "dpotrf" 64 "local" 3 "dpotrf" 8 3.29835428571429 44911.9183673469 2041.38775510204 0.201839186482705 49
"7" "dpotrf" 64 "local" 4 "dpotrf" 0 3.3111587755102 45089.612244898 2049.61224489796 0.084916193970699 49
"8" "dpotrf" 64 "local" 4 "dpotrf" 4 3.2632549 46452.38 2111.12 0.440175925053175 50
"9" "dpotrf" 64 "local" 4 "dpotrf" 8 3.23652384 47003.46 2137.14 0.443486968363099 50
"10" "dpotrf" 64 "local" 4 "dpotrf" 12 3.24482994 46348.06 2106.64 0.442910363917448 50
"11" "dpotrf" 64 "local" 5 "dpotrf" 0 3.27635387755102 45667.0204081633 2075.59183673469 0.107441308877923 49
"12" "dpotrf" 64 "local" 5 "dpotrf" 4 3.27847081632653 45426.0408163265 2064.65306122449 0.0914042587409711 49
"13" "dpotrf" 64 "local" 5 "dpotrf" 8 3.2801493877551 45486.4489795918 2067.59183673469 0.0982976504129202 49
"14" "dpotrf" 64 "local" 5 "dpotrf" 12 3.24984296 46672.8 2121.2 0.441462685220576 50
"15" "dpotrf" 64 "local" 5 "dpotrf" 16 3.24425424 46326.16 2105.5 0.440469377424906 50
"16" "dpotrf" 64 "local" 6 "dpotrf" 0 3.13285834 47811.76 2170.54 0.475106588873319 50
"17" "dpotrf" 64 "local" 6 "dpotrf" 4 3.20482612244898 46311.2448979592 2105.02040816327 0.103175575089592 49
"18" "dpotrf" 64 "local" 6 "dpotrf" 8 3.19687285714286 46400.2040816327 2108.97959183673 0.118864089089178 49
"19" "dpotrf" 64 "local" 6 "dpotrf" 12 3.14802504 47674.2 2166.84 0.442347114285389 50
"20" "dpotrf" 64 "local" 6 "dpotrf" 16 3.13626002 48262.72 2193.56 0.436153077200013 50
"21" "dpotrf" 64 "local" 6 "dpotrf" 20 3.13758208 47253.06 2147.86 0.469786852464567 50
"22" "dpotrf" 64 "local" 7 "dpotrf" 0 3.26181469387755 45395.6326530612 2063.36734693878 0.104926105269813 49
"23" "dpotrf" 64 "local" 7 "dpotrf" 4 3.28211448979592 45226.8367346939 2055.51020408163 0.0907711642231263 49
"24" "dpotrf" 64 "local" 7 "dpotrf" 8 3.25539020408163 45394.8367346939 2063.57142857143 0.227891702555638 49
"25" "dpotrf" 64 "local" 7 "dpotrf" 12 3.19399672 46705.44 2123.06 0.484583825103354 50
"26" "dpotrf" 64 "local" 7 "dpotrf" 16 3.21310256 46336.06 2105.78 0.442317040624093 50
"27" "dpotrf" 64 "local" 7 "dpotrf" 20 3.18794872 46667.54 2122.7 0.484981201224022 50
"28" "dpotrf" 64 "local" 7 "dpotrf" 24 3.19585794 47141.9 2142.6 0.444815762949222 50
"29" "dpotrf" 64 "local" 8 "dpotrf" 0 3.11379924 48262.28 2193.5 0.465540591091451 50
"30" "dpotrf" 64 "local" 8 "dpotrf" 4 3.11885265306122 47683.612244898 2168.28571428571 0.228064049490265 49
"31" "dpotrf" 64 "local" 8 "dpotrf" 8 3.15403510204082 47282.5102040816 2149.10204081633 0.189335929810421 49
