"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"1" "dsyrk" 64 "local" 1 "dsyrk" 0 8.1453394 69071.66 3139.9 1.01539203386192 50
"2" "dsyrk" 64 "local" 2 "dsyrk" 0 7.98167 70087.6734693878 3186.42857142857 0.549005671187314 49
"3" "dsyrk" 64 "local" 2 "dsyrk" 4 7.8269978 71464.9 3248.72 1.14473603177414 50
"4" "dsyrk" 64 "local" 3 "dsyrk" 0 8.12330795918367 68991.693877551 3136.44897959184 0.397182449118053 49
"5" "dsyrk" 64 "local" 3 "dsyrk" 4 7.98838571428571 70257.1836734694 3194.59183673469 0.404381564145589 49
"6" "dsyrk" 64 "local" 3 "dsyrk" 8 8.12043836734694 69082.6530612245 3140.83673469388 0.325443775234595 49
"7" "dsyrk" 64 "local" 4 "dsyrk" 0 7.43857774 75168.68 3414.78 1.13962440958122 50
"8" "dsyrk" 64 "local" 4 "dsyrk" 4 7.85113653061225 71222.4489795918 3238.02040816327 0.424558678460896 49
"9" "dsyrk" 64 "local" 4 "dsyrk" 8 7.61237163265306 73894.4081632653 3358.91836734694 0.6016272708744 49
"10" "dsyrk" 64 "local" 4 "dsyrk" 12 7.42758584 75684.84 3442.34 1.10449293557851 50
"11" "dsyrk" 64 "local" 5 "dsyrk" 0 8.05333228 69446.94 3156.82 1.08995770682165 50
"12" "dsyrk" 64 "local" 5 "dsyrk" 4 8.23352285714286 67957.5510204082 3089.34693877551 0.291231461205402 49
"13" "dsyrk" 64 "local" 5 "dsyrk" 8 8.21428897959184 68192.7959183674 3100 0.238191334734677 49
"14" "dsyrk" 64 "local" 5 "dsyrk" 12 7.96835468 70436.42 3203.24 1.09140958520716 50
"15" "dsyrk" 64 "local" 5 "dsyrk" 16 7.97396542 69785.74 3172.64 1.08274169593762 50
"16" "dsyrk" 64 "local" 6 "dsyrk" 0 7.13860348 78446.26 3566.16 1.18759805346441 50
"17" "dsyrk" 64 "local" 6 "dsyrk" 4 7.68595469387755 72633.4693877551 3302.42857142857 0.782348539500623 49
"18" "dsyrk" 64 "local" 6 "dsyrk" 8 7.74046428571429 72094.1836734694 3277.81632653061 0.785153357307772 49
"19" "dsyrk" 64 "local" 6 "dsyrk" 12 7.71851668 72138.82 3279.26 1.19762533433871 50
"20" "dsyrk" 64 "local" 6 "dsyrk" 16 7.45691648 74652.9 3393.46 1.25417367365485 50
"21" "dsyrk" 64 "local" 6 "dsyrk" 20 7.07916022 79081.66 3594.98 1.26572181201647 50
"22" "dsyrk" 64 "local" 7 "dsyrk" 0 7.81694372 71277.62 3240.14 1.17148834548249 50
"23" "dsyrk" 64 "local" 7 "dsyrk" 4 7.99156204081633 69737.6734693878 3170.18367346939 0.553946107013051 49
"24" "dsyrk" 64 "local" 7 "dsyrk" 8 7.89557 70504.7346938775 3204.95918367347 0.610386012235973 49
"25" "dsyrk" 64 "local" 7 "dsyrk" 12 7.75793332 71796.7 3263.82 1.1853380146815 50
"26" "dsyrk" 64 "local" 7 "dsyrk" 16 7.68970994 72534.24 3297.32 1.20043947933118 50
"27" "dsyrk" 64 "local" 7 "dsyrk" 20 7.92890102 70777.4 3217.44 1.11461305032925 50
"28" "dsyrk" 64 "local" 7 "dsyrk" 24 7.59506028 73335.08 3333.66 1.20241181224961 50
"29" "dsyrk" 64 "local" 8 "dsyrk" 0 7.44616918367347 75828.5102040816 3447.5306122449 0.666182284200543 49
"30" "dsyrk" 64 "local" 8 "dsyrk" 4 7.56799326530612 74470.6530612245 3385.73469387755 0.636292774012049 49
"31" "dsyrk" 64 "local" 8 "dsyrk" 8 7.34769244897959 76674.612244898 3485.61224489796 0.656200962198099 49
"32" "dsyrk" 64 "local" 8 "dsyrk" 12 7.19481964 78152.76 3553.44 1.17398503213555 50
