"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"1" "dtrsm" 64 "local" 1 "dtrsm" 0 6.0236494 92486.22 4204.14 0.716299597567347 50
"2" "dtrsm" 64 "local" 2 "dtrsm" 0 5.89257183673469 93944.7346938775 4271.83673469388 0.370695913090464 49
"3" "dtrsm" 64 "local" 2 "dtrsm" 4 5.79597644 95745 4352.28 0.789596737489516 50
"4" "dtrsm" 64 "local" 3 "dtrsm" 0 6.04725306122449 92370.612244898 4199.63265306122 0.200815730005189 49
"5" "dtrsm" 64 "local" 3 "dtrsm" 4 6.05725775510204 91961.8775510204 4180.16326530612 0.174647715621873 49
"6" "dtrsm" 64 "local" 3 "dtrsm" 8 6.04181448979592 92158.9387755102 4189.22448979592 0.202846504571614 49
"7" "dtrsm" 64 "local" 4 "dtrsm" 0 5.85714946 94998.68 4317.26 0.783667925184349 50
"8" "dtrsm" 64 "local" 4 "dtrsm" 4 6.05176836734694 91894.5306122449 4177.20408163265 0.18541328153105 49
"9" "dtrsm" 64 "local" 4 "dtrsm" 8 5.92637734693878 94016.1224489796 4273.79591836735 0.302027925921701 49
"10" "dtrsm" 64 "local" 4 "dtrsm" 12 5.93479958 93754.88 4261.6 0.778853417184677 50
"11" "dtrsm" 64 "local" 5 "dtrsm" 0 5.83135962 95169.38 4326.06 0.788714542992865 50
"12" "dtrsm" 64 "local" 5 "dtrsm" 4 5.92765591836735 93970.5510204082 4271.65306122449 0.271540958964745 49
"13" "dtrsm" 64 "local" 5 "dtrsm" 8 6.01198571428571 92765.3265306122 4216.71428571429 0.180580076501165 49
"14" "dtrsm" 64 "local" 5 "dtrsm" 12 5.83449096 95060.04 4321.3 0.775828993817396 50
"15" "dtrsm" 64 "local" 5 "dtrsm" 16 5.91240298 94454.34 4293.7 0.775206367669044 50
"16" "dtrsm" 64 "local" 6 "dtrsm" 0 5.88525266 94388.92 4292.44 0.793982693456779 50
"17" "dtrsm" 64 "local" 6 "dtrsm" 4 5.98910816326531 92535.9795918367 4206.4693877551 0.296079337211565 49
"18" "dtrsm" 64 "local" 6 "dtrsm" 8 5.91079265306122 94098.3673469388 4277.38775510204 0.318906095117718 49
"19" "dtrsm" 64 "local" 6 "dtrsm" 12 5.85893954 94820.74 4310.24 0.807914228478196 50
"20" "dtrsm" 64 "local" 6 "dtrsm" 16 5.841905 94747.08 4307.46 0.809959051044167 50
"21" "dtrsm" 64 "local" 6 "dtrsm" 20 5.9049662 93804.14 4264.52 0.787506298146218 50
"22" "dtrsm" 64 "local" 7 "dtrsm" 0 5.8035172 96148.62 4370.8 0.822800056554124 50
"23" "dtrsm" 64 "local" 7 "dtrsm" 4 5.90098306122449 94327.2244897959 4287.81632653061 0.29258546544987 49
"24" "dtrsm" 64 "local" 7 "dtrsm" 8 5.79831 96053.0408163265 4366.65306122449 0.315859013828427 49
"25" "dtrsm" 64 "local" 7 "dtrsm" 12 5.87001558 94491.9 4295.26 0.798172441763494 50
"26" "dtrsm" 64 "local" 7 "dtrsm" 16 5.7904554 95862.12 4357.42 0.813660411885846 50
"27" "dtrsm" 64 "local" 7 "dtrsm" 20 5.8068611 95707 4350.72 0.809181222579211 50
"28" "dtrsm" 64 "local" 7 "dtrsm" 24 5.81800108 95705.56 4350.3 0.813079415494433 50
"29" "dtrsm" 64 "local" 8 "dtrsm" 0 5.89180204081633 94714.6734693878 4306.65306122449 0.321373118884548 49
"30" "dtrsm" 64 "local" 8 "dtrsm" 4 5.76760959183673 96330.387755102 4378.79591836735 0.433963381831536 49
"31" "dtrsm" 64 "local" 8 "dtrsm" 8 5.84160734693878 95557.8571428571 4343.57142857143 0.341445717658602 49
"32" "dtrsm" 64 "local" 8 "dtrsm" 12 5.77453706 96902.16 4405.02 0.820144415124268 50
"33" "dtrsm" 64 "local" 8 "dtrsm" 16 5.70182888 97212.54 4419.94 0.831000922247496 50
"34" "dtrsm" 64 "local" 8 "dtrsm" 20 5.80114174 96070.16 4367.16 0.827790661686553 50
"35" "dtrsm" 64 "local" 8 "dtrsm" 24 5.75172912 96834.96 4402.12 0.828594814216992 50
"36" "dtrsm" 64 "local" 8 "dtrsm" 28 5.73390254 96980.26 4408.86 0.837893342186058 50
"37" "dtrsm" 64 "local" 9 "dtrsm" 0 5.43955212 101839.06 4629.48 0.84657149894136 50
"38" "dtrsm" 64 "local" 9 "dtrsm" 4 5.69789408163265 97678.5918367347 4440.40816326531 0.411453552425819 49
"39" "dtrsm" 64 "local" 9 "dtrsm" 8 5.54409510204082 100290.326530612 4558.91836734694 0.407424513479299 49
"40" "dtrsm" 64 "local" 9 "dtrsm" 12 5.30277108 104707.12 4760.38 0.798057860600648 50
"41" "dtrsm" 64 "local" 9 "dtrsm" 16 5.57128972 99482.2 4522.04 0.828003223429002 50
"42" "dtrsm" 64 "local" 9 "dtrsm" 20 5.53271248 100499.2 4568.74 0.82463644760571 50
"43" "dtrsm" 64 "local" 9 "dtrsm" 24 5.49640316 100784.44 4581.66 0.84344693663688 50
"44" "dtrsm" 64 "local" 9 "dtrsm" 28 5.6868358 97505.48 4433.54 0.81105118400372 50
"45" "dtrsm" 64 "local" 9 "dtrsm" 32 5.66941594 97764.28 4444.06 0.851759289165484 50
"46" "dtrsm" 64 "local" 10 "dtrsm" 0 5.64785982 98393.3 4472.6 0.809560641515764 50
"47" "dtrsm" 64 "local" 10 "dtrsm" 4 5.75069306122449 96752.7959183674 4398.10204081633 0.339926005460527 49
"48" "dtrsm" 64 "local" 10 "dtrsm" 8 5.61731387755102 99083.4489795918 4504.04081632653 0.351126296050867 49
"49" "dtrsm" 64 "local" 10 "dtrsm" 12 5.7357949 96641.92 4393.84 0.815355775694048 50
"50" "dtrsm" 64 "local" 10 "dtrsm" 16 5.70316778 97147.9 4416.42 0.823220361503387 50
"51" "dtrsm" 64 "local" 10 "dtrsm" 20 5.7418272 96546.28 4388.6 0.81166020473293 50
"52" "dtrsm" 64 "local" 10 "dtrsm" 24 5.65016872 97938.3 4451.84 0.80025181118749 50
"53" "dtrsm" 64 "local" 10 "dtrsm" 28 5.57492184 99497.74 4523.04 0.819347206940948 50
"54" "dtrsm" 64 "local" 10 "dtrsm" 32 5.59715456 99467.84 4521.74 0.823007307766602 50
"55" "dtrsm" 64 "local" 10 "dtrsm" 36 5.70290996 97277.32 4421.68 0.812107327586742 50
"56" "dtrsm" 64 "local" 11 "dtrsm" 0 5.59096854 99514.1 4523.64 0.814148893354938 50
"57" "dtrsm" 64 "local" 11 "dtrsm" 4 5.71055632653061 97670.6326530612 4439.81632653061 0.381880848093212 49
"58" "dtrsm" 64 "local" 11 "dtrsm" 8 5.81449469387755 96053.7755102041 4366.32653061224 0.345271879412334 49
"59" "dtrsm" 64 "local" 11 "dtrsm" 12 5.59315524 99172.74 4508.26 0.836537297592089 50
"60" "dtrsm" 64 "local" 11 "dtrsm" 16 5.64284806 98452.3 4475.2 0.81914818781016 50
"61" "dtrsm" 64 "local" 11 "dtrsm" 20 5.47096898 100872.56 4585.78 0.815869365304912 50
"62" "dtrsm" 64 "local" 11 "dtrsm" 24 5.54875366 100007.9 4546.06 0.824911594111747 50
"63" "dtrsm" 64 "local" 11 "dtrsm" 28 5.33401884 104039.54 4729.32 0.783002406568313 50
"64" "dtrsm" 64 "local" 11 "dtrsm" 32 5.64109912 98377.14 4471.88 0.834452387478957 50
"65" "dtrsm" 64 "local" 11 "dtrsm" 36 5.58349862 99876 4540.06 0.836167604142412 50
"66" "dtrsm" 64 "local" 11 "dtrsm" 40 5.57228252 99829.98 4537.96 0.822427366997288 50
"67" "dtrsm" 64 "local" 12 "dtrsm" 0 5.77563936 96370.84 4380.86 0.804229194475939 50
"68" "dtrsm" 64 "local" 12 "dtrsm" 4 5.78448489795918 96160.9183673469 4371.32653061224 0.291181702951685 49
"69" "dtrsm" 64 "local" 12 "dtrsm" 8 5.64802857142857 98590.2653061225 4481.79591836735 0.322856499818418 49
"70" "dtrsm" 64 "local" 12 "dtrsm" 12 5.63209778 98372.5 4472.02 0.803611661583473 50
"71" "dtrsm" 64 "local" 12 "dtrsm" 16 5.73698622 96706.9 4395.86 0.810699136335317 50
"72" "dtrsm" 64 "local" 12 "dtrsm" 20 5.6873847 97311.02 4423.54 0.808844282421864 50
"73" "dtrsm" 64 "local" 12 "dtrsm" 24 5.64791378 98116.7 4460.1 0.79815341884273 50
"74" "dtrsm" 64 "local" 12 "dtrsm" 28 5.69410214 97175.5 4417.42 0.804888481122493 50
"75" "dtrsm" 64 "local" 12 "dtrsm" 32 5.5933677 98840.14 4492.96 0.803383480488392 50
"76" "dtrsm" 64 "local" 12 "dtrsm" 36 5.6319609 98098.54 4459.18 0.807959336543521 50
