"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dgemm" 224 "local" 1 "dgemm" 0 20.99829 0.881349301193508 50
"2" "dgemm" 224 "remote" 1 "dgemm" 0 20.937474 1.01924590548151 50
"3" "dgemm" 256 "local" 1 "dgemm" 0 21.092552 0.683118116669767 50
"4" "dgemm" 256 "remote" 1 "dgemm" 0 21.085038 0.889316630533162 50
"5" "dgemm" 512 "local" 1 "dgemm" 0 22.797618 0.243082133335502 50
"6" "dgemm" 512 "remote" 1 "dgemm" 0 22.752348 0.373870182773843 50
"7" "dgemm" 224 "local" 2 "dgemm" 0 20.772158 0.908214138664108 50
"8" "dgemm" 224 "local" 2 "dgemm" 4 20.766958 0.901126001765093 50
"9" "dgemm" 224 "remote" 2 "dgemm" 0 20.815936 1.12745786866575 50
"10" "dgemm" 224 "remote" 2 "dgemm" 4 20.78078 1.12231732425662 50
"11" "dgemm" 256 "local" 2 "dgemm" 0 21.177076 0.772396869427913 50
"12" "dgemm" 256 "local" 2 "dgemm" 4 21.181452 0.764929640952789 50
"13" "dgemm" 256 "remote" 2 "dgemm" 0 21.060368 0.93394923242702 50
"14" "dgemm" 256 "remote" 2 "dgemm" 4 21.022442 0.95093878772291 50
"15" "dgemm" 512 "local" 2 "dgemm" 0 22.766074 0.264286505643603 50
"16" "dgemm" 512 "local" 2 "dgemm" 4 22.774276 0.263209421982588 50
"17" "dgemm" 512 "remote" 2 "dgemm" 0 22.763072 0.407156948648372 50
"18" "dgemm" 512 "remote" 2 "dgemm" 4 22.757518 0.400051333792787 50
"19" "dgemm" 224 "local" 3 "dgemm" 0 21.018882 0.922926335683384 50
"20" "dgemm" 224 "local" 3 "dgemm" 4 21.006414 0.915713732339926 50
"21" "dgemm" 224 "local" 3 "dgemm" 8 21.021134 0.921928154182021 50
"22" "dgemm" 224 "remote" 3 "dgemm" 0 20.816512 1.05402811828659 50
"23" "dgemm" 224 "remote" 3 "dgemm" 4 20.739666 1.07666147553539 50
"24" "dgemm" 224 "remote" 3 "dgemm" 8 20.76156 1.08178373843144 50
"25" "dgemm" 256 "local" 3 "dgemm" 0 20.958188 0.868568419553059 50
"26" "dgemm" 256 "local" 3 "dgemm" 4 20.95728 0.863641694411826 50
"27" "dgemm" 256 "local" 3 "dgemm" 8 20.968286 0.855245420800369 50
"28" "dgemm" 256 "remote" 3 "dgemm" 0 21.012022 0.978464163524674 50
"29" "dgemm" 256 "remote" 3 "dgemm" 4 21.014292 0.975684367631672 50
"30" "dgemm" 256 "remote" 3 "dgemm" 8 21.003044 0.978004991047738 50
"31" "dgemm" 512 "local" 3 "dgemm" 0 22.792772 0.259919158578044 50
"32" "dgemm" 512 "local" 3 "dgemm" 4 22.749362 0.259028629644505 50
"33" "dgemm" 512 "local" 3 "dgemm" 8 22.782636 0.261250859004544 50
"34" "dgemm" 512 "remote" 3 "dgemm" 0 22.72863 0.435379302729123 50
"35" "dgemm" 512 "remote" 3 "dgemm" 4 22.74256 0.428669596852058 50
"36" "dgemm" 512 "remote" 3 "dgemm" 8 22.749774 0.419359776768622 50
"37" "dgemm" 224 "local" 4 "dgemm" 0 20.890702 1.02373395429652 50
"38" "dgemm" 224 "local" 4 "dgemm" 4 20.859426 1.02471528545688 50
"39" "dgemm" 224 "local" 4 "dgemm" 8 20.887146 1.01911175314184 50
"40" "dgemm" 224 "local" 4 "dgemm" 12 21.000752 1.03270403987566 50
"41" "dgemm" 224 "remote" 4 "dgemm" 0 20.831066 1.16056043228419 50
"42" "dgemm" 224 "remote" 4 "dgemm" 4 20.818584 1.1452909950804 50
"43" "dgemm" 224 "remote" 4 "dgemm" 8 20.82083 1.14765731041233 50
"44" "dgemm" 224 "remote" 4 "dgemm" 12 20.92904 1.14473507228279 50
"45" "dgemm" 256 "local" 4 "dgemm" 0 21.156958 0.842634693669511 50
"46" "dgemm" 256 "local" 4 "dgemm" 4 21.150194 0.836940836767438 50
"47" "dgemm" 256 "local" 4 "dgemm" 8 21.156822 0.843820855658888 50
"48" "dgemm" 256 "local" 4 "dgemm" 12 21.211096 0.840551176059798 50
"49" "dgemm" 256 "remote" 4 "dgemm" 0 20.970038 1.03658031120978 50
"50" "dgemm" 256 "remote" 4 "dgemm" 4 20.955792 1.02739818837961 50
"51" "dgemm" 256 "remote" 4 "dgemm" 8 20.950654 1.03467070187099 50
"52" "dgemm" 256 "remote" 4 "dgemm" 12 21.021638 1.03151830513697 50
"53" "dgemm" 512 "local" 4 "dgemm" 0 22.780142 0.27470087560316 50
"54" "dgemm" 512 "local" 4 "dgemm" 4 22.770284 0.269441178587029 50
"55" "dgemm" 512 "local" 4 "dgemm" 8 22.775812 0.268893774368016 50
"56" "dgemm" 512 "local" 4 "dgemm" 12 22.79753 0.267323903700728 50
"57" "dgemm" 512 "remote" 4 "dgemm" 0 22.739596 0.466036217809522 50
"58" "dgemm" 512 "remote" 4 "dgemm" 4 22.74508 0.447658391077438 50
"59" "dgemm" 512 "remote" 4 "dgemm" 8 22.75858 0.458251679801413 50
"60" "dgemm" 512 "remote" 4 "dgemm" 12 22.758798 0.452168858873202 50
"61" "dgemm" 224 "local" 5 "dgemm" 0 21.07079 1.08413476405503 50
"62" "dgemm" 224 "local" 5 "dgemm" 4 20.965536 1.06859695686848 50
"63" "dgemm" 224 "local" 5 "dgemm" 8 20.96825 1.08787488162069 50
"64" "dgemm" 224 "local" 5 "dgemm" 12 21.119252 1.08782339488784 50
"65" "dgemm" 224 "local" 5 "dgemm" 16 21.06244 1.08997703551918 50
"66" "dgemm" 224 "remote" 5 "dgemm" 0 20.833252 1.19302771273901 50
"67" "dgemm" 224 "remote" 5 "dgemm" 4 20.86221 1.16908146331089 50
"68" "dgemm" 224 "remote" 5 "dgemm" 8 20.901882 1.15752024933846 50
"69" "dgemm" 224 "remote" 5 "dgemm" 12 20.94304 1.17601174713 50
"70" "dgemm" 224 "remote" 5 "dgemm" 16 20.945324 1.17107853787064 50
"71" "dgemm" 256 "local" 5 "dgemm" 0 21.14527 0.892558689604082 50
"72" "dgemm" 256 "local" 5 "dgemm" 4 21.134368 0.894282955367721 50
"73" "dgemm" 256 "local" 5 "dgemm" 8 21.152358 0.886894857926421 50
"74" "dgemm" 256 "local" 5 "dgemm" 12 21.211274 0.889485610536236 50
"75" "dgemm" 256 "local" 5 "dgemm" 16 21.194372 0.884663736656535 50
"76" "dgemm" 256 "remote" 5 "dgemm" 0 21.01361 1.05610459888001 50
"77" "dgemm" 256 "remote" 5 "dgemm" 4 21.016992 1.05955611765744 50
"78" "dgemm" 256 "remote" 5 "dgemm" 8 21.029898 1.08279429020192 50
"79" "dgemm" 256 "remote" 5 "dgemm" 12 21.090132 1.07850747330536 50
"80" "dgemm" 256 "remote" 5 "dgemm" 16 21.08424 1.02560384284039 50
