"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dpotrf" 224 "local" 1 "dpotrf" 0 8.9230888 0.536975112867763 50
"2" "dpotrf" 224 "remote" 1 "dpotrf" 0 8.8594384 0.432723326162978 50
"3" "dpotrf" 256 "local" 1 "dpotrf" 0 9.5780842 0.510538169798082 50
"4" "dpotrf" 256 "remote" 1 "dpotrf" 0 9.482471 0.415578242389997 50
"5" "dpotrf" 512 "local" 1 "dpotrf" 0 12.991604 0.339634464345756 50
"6" "dpotrf" 512 "remote" 1 "dpotrf" 0 12.970862 0.331401060982623 50
"7" "dpotrf" 224 "local" 2 "dpotrf" 0 8.8153468 0.558183614824852 50
"8" "dpotrf" 224 "local" 2 "dpotrf" 4 8.7906162 0.568972314949632 50
"9" "dpotrf" 224 "remote" 2 "dpotrf" 0 8.8835076 0.483268989886543 50
"10" "dpotrf" 224 "remote" 2 "dpotrf" 4 8.8718764 0.481557582950346 50
"11" "dpotrf" 256 "local" 2 "dpotrf" 0 9.7377796 0.457044549045366 50
"12" "dpotrf" 256 "local" 2 "dpotrf" 4 9.7521316 0.459004430392384 50
"13" "dpotrf" 256 "remote" 2 "dpotrf" 0 9.4707166 0.433988672195861 50
"14" "dpotrf" 256 "remote" 2 "dpotrf" 4 9.4578652 0.410419704877824 50
"15" "dpotrf" 512 "local" 2 "dpotrf" 0 12.868 0.391555667582946 50
"16" "dpotrf" 512 "local" 2 "dpotrf" 4 12.880954 0.401779299357044 50
"17" "dpotrf" 512 "remote" 2 "dpotrf" 0 13.02574 0.307814173335346 50
"18" "dpotrf" 512 "remote" 2 "dpotrf" 4 13.039996 0.294421868614353 50
"19" "dpotrf" 224 "local" 3 "dpotrf" 0 8.8945688 0.596637477513809 50
"20" "dpotrf" 224 "local" 3 "dpotrf" 4 8.8767386 0.592466162657344 50
"21" "dpotrf" 224 "local" 3 "dpotrf" 8 8.8961294 0.599880762061486 50
"22" "dpotrf" 224 "remote" 3 "dpotrf" 0 8.8730062 0.577350998507063 50
"23" "dpotrf" 224 "remote" 3 "dpotrf" 4 8.8348748 0.546903108899034 50
"24" "dpotrf" 224 "remote" 3 "dpotrf" 8 8.8593228 0.593614399139264 50
"25" "dpotrf" 256 "local" 3 "dpotrf" 0 9.5570592 0.519585530767573 50
"26" "dpotrf" 256 "local" 3 "dpotrf" 4 9.5375678 0.514868817630793 50
"27" "dpotrf" 256 "local" 3 "dpotrf" 8 9.5470516 0.518573397144473 50
"28" "dpotrf" 256 "remote" 3 "dpotrf" 0 9.444626 0.434510140620493 50
"29" "dpotrf" 256 "remote" 3 "dpotrf" 4 9.43374 0.445566354819278 50
"30" "dpotrf" 256 "remote" 3 "dpotrf" 8 9.4678412 0.422589849751288 50
"31" "dpotrf" 512 "local" 3 "dpotrf" 0 13.06764 0.358898909648579 50
"32" "dpotrf" 512 "local" 3 "dpotrf" 4 13.024258 0.363695383354627 50
"33" "dpotrf" 512 "local" 3 "dpotrf" 8 13.036984 0.364458992603826 50
"34" "dpotrf" 512 "remote" 3 "dpotrf" 0 12.968224 0.369541909230267 50
"35" "dpotrf" 512 "remote" 3 "dpotrf" 4 12.94425 0.372701381942757 50
