"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "Std" "Nxp"
"1" "dtrsm" 224 "local" 1 "dtrsm" 0 11.4811368 0.549113050512016 50
"2" "dtrsm" 224 "remote" 1 "dtrsm" 0 11.1347372 0.611576621701981 50
"3" "dtrsm" 256 "local" 1 "dtrsm" 0 11.427989 0.446500922513159 50
"4" "dtrsm" 256 "remote" 1 "dtrsm" 0 11.1264968 0.588069489387721 50
"5" "dtrsm" 512 "local" 1 "dtrsm" 0 15.126782 0.365195767287763 50
"6" "dtrsm" 512 "remote" 1 "dtrsm" 0 15.008746 0.427655205486373 50
"7" "dtrsm" 224 "local" 2 "dtrsm" 0 11.2817482 0.625684055759284 50
"8" "dtrsm" 224 "local" 2 "dtrsm" 4 11.2059284 0.61998432646535 50
"9" "dtrsm" 224 "remote" 2 "dtrsm" 0 11.1507046 0.650653185618851 50
"10" "dtrsm" 224 "remote" 2 "dtrsm" 4 11.1530714 0.635481917596306 50
"11" "dtrsm" 256 "local" 2 "dtrsm" 0 11.1877772 0.542493254535473 50
"12" "dtrsm" 256 "local" 2 "dtrsm" 4 11.0592642 0.533111541723432 50
"13" "dtrsm" 256 "remote" 2 "dtrsm" 0 11.0476232 0.598139910373307 50
"14" "dtrsm" 256 "remote" 2 "dtrsm" 4 10.989577 0.591387188270088 50
"15" "dtrsm" 512 "local" 2 "dtrsm" 0 15.120926 0.342469930043023 50
"16" "dtrsm" 512 "local" 2 "dtrsm" 4 15.103764 0.342975513947201 50
"17" "dtrsm" 512 "remote" 2 "dtrsm" 0 15.045166 0.423120867862137 50
"18" "dtrsm" 512 "remote" 2 "dtrsm" 4 15.099718 0.412064800575673 50
"19" "dtrsm" 224 "local" 3 "dtrsm" 0 11.8338366 0.572656646779245 50
"20" "dtrsm" 224 "local" 3 "dtrsm" 4 11.8036374 0.565333657286075 50
"21" "dtrsm" 224 "local" 3 "dtrsm" 8 11.8172714 0.577603595867637 50
"22" "dtrsm" 224 "remote" 3 "dtrsm" 0 11.145548 0.718861655175481 50
"23" "dtrsm" 224 "remote" 3 "dtrsm" 4 11.0515488 0.707112894755246 50
"24" "dtrsm" 224 "remote" 3 "dtrsm" 8 11.1144796 0.721398835364421 50
"25" "dtrsm" 256 "local" 3 "dtrsm" 0 11.4052694 0.566430427272802 50
"26" "dtrsm" 256 "local" 3 "dtrsm" 4 11.3402068 0.552633567145979 50
"27" "dtrsm" 256 "local" 3 "dtrsm" 8 11.2284764 0.533273484084472 50
"28" "dtrsm" 256 "remote" 3 "dtrsm" 0 11.0095786 0.59111582465986 50
"29" "dtrsm" 256 "remote" 3 "dtrsm" 4 10.9422176 0.590543367757429 50
"30" "dtrsm" 256 "remote" 3 "dtrsm" 8 10.903209 0.588755885770658 50
"31" "dtrsm" 512 "local" 3 "dtrsm" 0 15.07143 0.404536456947949 50
"32" "dtrsm" 512 "local" 3 "dtrsm" 4 15.107564 0.409109527652836 50
"33" "dtrsm" 512 "local" 3 "dtrsm" 8 15.055 0.400787335332924 50
"34" "dtrsm" 512 "remote" 3 "dtrsm" 0 15.086266 0.49560660650585 50
"35" "dtrsm" 512 "remote" 3 "dtrsm" 4 14.936362 0.489025561658184 50
"36" "dtrsm" 512 "remote" 3 "dtrsm" 8 14.968834 0.484028615113796 50
"37" "dtrsm" 224 "local" 4 "dtrsm" 0 11.8114754 0.617568517567608 50
"38" "dtrsm" 224 "local" 4 "dtrsm" 4 11.7826458 0.614976011996387 50
"39" "dtrsm" 224 "local" 4 "dtrsm" 8 11.8314674 0.621204473973698 50
"40" "dtrsm" 224 "local" 4 "dtrsm" 12 11.9215974 0.624308747998773 50
"41" "dtrsm" 224 "remote" 4 "dtrsm" 0 11.0053586 0.738195011749246 50
"42" "dtrsm" 224 "remote" 4 "dtrsm" 4 10.9811922 0.732538018196479 50
"43" "dtrsm" 224 "remote" 4 "dtrsm" 8 10.9916562 0.732714943767328 50
"44" "dtrsm" 224 "remote" 4 "dtrsm" 12 11.2510728 0.739072005116621 50
"45" "dtrsm" 256 "local" 4 "dtrsm" 0 11.320115 0.616786447534513 50
"46" "dtrsm" 256 "local" 4 "dtrsm" 4 11.2718694 0.61358011206365 50
"47" "dtrsm" 256 "local" 4 "dtrsm" 8 11.3616856 0.621352351451022 50
"48" "dtrsm" 256 "local" 4 "dtrsm" 12 11.4401142 0.6147845289042 50
"49" "dtrsm" 256 "remote" 4 "dtrsm" 0 11.0202698 0.683817126891811 50
"50" "dtrsm" 256 "remote" 4 "dtrsm" 4 10.9238178 0.665521343043243 50
"51" "dtrsm" 256 "remote" 4 "dtrsm" 8 10.9119768 0.66019829196077 50
"52" "dtrsm" 256 "remote" 4 "dtrsm" 12 11.1616234 0.665256415955409 50
"53" "dtrsm" 512 "local" 4 "dtrsm" 0 14.989798 0.349845740052174 50
"54" "dtrsm" 512 "local" 4 "dtrsm" 4 15.13697 0.362301848587329 50
"55" "dtrsm" 512 "local" 4 "dtrsm" 8 15.11815 0.359946779654539 50
"56" "dtrsm" 512 "local" 4 "dtrsm" 12 15.196372 0.349838535957399 50
"57" "dtrsm" 512 "remote" 4 "dtrsm" 0 15.037732 0.477105227532434 50
"58" "dtrsm" 512 "remote" 4 "dtrsm" 4 15.086048 0.482299731194414 50
"59" "dtrsm" 512 "remote" 4 "dtrsm" 8 14.991874 0.469730898998 50
"60" "dtrsm" 512 "remote" 4 "dtrsm" 12 15.096688 0.446817639667871 50
"61" "dtrsm" 224 "local" 5 "dtrsm" 0 11.1719922 0.712891051484656 50
"62" "dtrsm" 224 "local" 5 "dtrsm" 4 11.1044892 0.698342662129679 50
