Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_1 1 copy 0  200000000 63.4109
bandwidth_200000000_0_1 1 copy 0  200000000 63.0742
bandwidth_200000000_0_1 1 copy 0  200000000 63.3573
bandwidth_200000000_0_1 1 copy 0  200000000 63.0528
bandwidth_200000000_0_1 1 copy 0  200000000 63.1009
bandwidth_200000000_0_1 1 copy 0  200000000 63.0971
bandwidth_200000000_0_1 1 copy 0  200000000 63.089
bandwidth_200000000_0_1 1 copy 0  200000000 63.0458
bandwidth_200000000_0_1 1 copy 0  200000000 63.114
bandwidth_200000000_0_1 1 copy 0  200000000 63.0861
Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_2 2 copy 0  200000000 67.4463
bandwidth_200000000_0_2 2 copy 0  200000000 67.302
bandwidth_200000000_0_2 2 copy 0  200000000 67.217
bandwidth_200000000_0_2 2 copy 0  200000000 67.2335
bandwidth_200000000_0_2 2 copy 0  200000000 67.1612
bandwidth_200000000_0_2 2 copy 0  200000000 67.2228
bandwidth_200000000_0_2 2 copy 0  200000000 67.1072
bandwidth_200000000_0_2 2 copy 0  200000000 67.2136
bandwidth_200000000_0_2 2 copy 0  200000000 67.4969
bandwidth_200000000_0_2 2 copy 0  200000000 67.0653
bandwidth_200000000_0_2 2 copy 1  200000000 67.307
bandwidth_200000000_0_2 2 copy 1  200000000 67.0674
bandwidth_200000000_0_2 2 copy 1  200000000 67.0395
bandwidth_200000000_0_2 2 copy 1  200000000 67.1279
bandwidth_200000000_0_2 2 copy 1  200000000 67.0622
bandwidth_200000000_0_2 2 copy 1  200000000 66.9784
bandwidth_200000000_0_2 2 copy 1  200000000 66.8938
bandwidth_200000000_0_2 2 copy 1  200000000 67.1425
bandwidth_200000000_0_2 2 copy 1  200000000 67.1702
bandwidth_200000000_0_2 2 copy 1  200000000 67.0294
Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_3 3 copy 0  200000000 71.6354
bandwidth_200000000_0_3 3 copy 0  200000000 71.4021
bandwidth_200000000_0_3 3 copy 0  200000000 71.3797
bandwidth_200000000_0_3 3 copy 0  200000000 71.2887
bandwidth_200000000_0_3 3 copy 0  200000000 71.3261
bandwidth_200000000_0_3 3 copy 0  200000000 71.3826
bandwidth_200000000_0_3 3 copy 0  200000000 71.3774
bandwidth_200000000_0_3 3 copy 0  200000000 71.4491
bandwidth_200000000_0_3 3 copy 0  200000000 71.4673
bandwidth_200000000_0_3 3 copy 0  200000000 70.7829
bandwidth_200000000_0_3 3 copy 1  200000000 71.2238
bandwidth_200000000_0_3 3 copy 1  200000000 70.8309
bandwidth_200000000_0_3 3 copy 1  200000000 70.8684
