#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 64 10 64 5.420035 1513799744848446447 1513799778655511808 0.004255
#Experience summarry : avg : 5.420035 :: std : 0.004255 :: min : 5.411709 :: max : 5.426845 :: median : 5.421516

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 80 10 64 10.347114 1513800017142500996 1513800034841440924 0.009692
#Experience summarry : avg : 10.347114 :: std : 0.009692 :: min : 10.332232 :: max : 10.364649 :: median : 10.343434

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 96 10 64 18.450140 1513800192043696127 1513800201971364048 0.038198
#Experience summarry : avg : 18.450140 :: std : 0.038198 :: min : 18.372800 :: max : 18.525014 :: median : 18.453402

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 128 10 64 57.665149 1513800288120976657 1513800291322681024 0.597783
#Experience summarry : avg : 57.665149 :: std : 0.597783 :: min : 56.450142 :: max : 58.798421 :: median : 57.715429

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 144 10 64 115.850709 1513800360559500488 1513800362134949681 4.627367
#Experience summarry : avg : 115.850709 :: std : 4.627367 :: min : 103.993244 :: max : 121.300146 :: median : 117.442082

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 160 10 64 321.180102 1513800420894092679 1513800421469857452 16.660644
#Experience summarry : avg : 321.180102 :: std : 16.660644 :: min : 307.448659 :: max : 370.079339 :: median : 318.082473

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 176 10 64 434.721427 1513800477871263113 1513800478302694033 9.874465
#Experience summarry : avg : 434.721427 :: std : 9.874465 :: min : 416.747348 :: max : 450.210202 :: median : 440.041213

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 192 10 64 469.312847 1513800534409249518 1513800534777416048 12.689800
#Experience summarry : avg : 469.312847 :: std : 12.689800 :: min : 451.300959 :: max : 497.831302 :: median : 471.756518

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 208 10 64 507.646228 1513800590561907713 1513800590914217637 9.334786
#Experience summarry : avg : 507.646228 :: std : 9.334786 :: min : 498.073209 :: max : 521.083901 :: median : 507.262352

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 224 10 64 527.620888 1513800646570438154 1513800646916603464 8.883796
#Experience summarry : avg : 527.620888 :: std : 8.883796 :: min : 511.009875 :: max : 540.783478 :: median : 529.471173

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 240 10 64 540.912888 1513800702432735780 1513800702776795421 8.510280
#Experience summarry : avg : 540.912888 :: std : 8.510280 :: min : 532.070455 :: max : 558.300396 :: median : 540.163351

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 256 10 64 543.574079 1513800758310149929 1513800758636680562 10.304596
#Experience summarry : avg : 543.574079 :: std : 10.304596 :: min : 524.298709 :: max : 561.312912 :: median : 546.624800

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 384 10 64 462.575443 1513800814760654983 1513800815159115883 6.269084
#Experience summarry : avg : 462.575443 :: std : 6.269084 :: min : 446.479229 :: max : 471.160036 :: median : 463.098216

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 512 10 64 366.261833 1513800872225755853 1513800872733427886 7.489644
