#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 200 10 64 583.000865 1514559502805467219 1514559503118106879 5.578205
#Experience summarry : avg : 583.000865 :: std : 5.578205 :: min : 571.461869 :: max : 592.051414 :: median : 584.795849

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 200 10 64 603.002755 1514559577191332758 1514559577496234138 7.111503
#Experience summarry : avg : 603.002755 :: std : 7.111503 :: min : 593.660313 :: max : 613.746130 :: median : 601.131394

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 208 10 64 637.967277 1514559633398895764 1514559633682549450 6.357190
#Experience summarry : avg : 637.967277 :: std : 6.357190 :: min : 625.643507 :: max : 646.160909 :: median : 638.863308

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 216 10 64 600.022177 1514559689728692341 1514559690026157484 12.292336
#Experience summarry : avg : 600.022177 :: std : 12.292336 :: min : 580.169744 :: max : 616.156523 :: median : 603.015631

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 232 10 64 597.305148 1514559746120405441 1514559746427618503 5.522385
#Experience summarry : avg : 597.305148 :: std : 5.522385 :: min : 588.555329 :: max : 605.152662 :: median : 598.739427

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 248 10 64 594.460733 1514559802562247859 1514559802855248866 14.311694
#Experience summarry : avg : 594.460733 :: std : 14.311694 :: min : 570.874124 :: max : 625.545761 :: median : 594.565747

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 264 10 64 626.470812 1514559858779830827 1514559859068869284 4.342764
#Experience summarry : avg : 626.470812 :: std : 4.342764 :: min : 617.678364 :: max : 634.122084 :: median : 627.950391

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 272 10 64 591.967148 1514559915198305309 1514559915516682603 12.874912
#Experience summarry : avg : 591.967148 :: std : 12.874912 :: min : 575.046175 :: max : 608.450805 :: median : 600.975375

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 288 10 64 559.893203 1514559971824041521 1514559972145231501 9.936836
#Experience summarry : avg : 559.893203 :: std : 9.936836 :: min : 543.063373 :: max : 577.195453 :: median : 556.292105

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 304 10 64 580.794997 1514560028316249256 1514560028625766409 11.572407
#Experience summarry : avg : 580.794997 :: std : 11.572407 :: min : 564.758204 :: max : 603.667194 :: median : 580.322155

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 320 10 64 558.532624 1514560084889087169 1514560085215667818 11.142721
#Experience summarry : avg : 558.532624 :: std : 11.142721 :: min : 539.891355 :: max : 579.740534 :: median : 561.226857

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 336 10 64 542.386213 1514560141600826953 1514560141932965165 9.640029
#Experience summarry : avg : 542.386213 :: std : 9.640029 :: min : 520.789142 :: max : 557.707433 :: median : 541.875189

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 352 10 64 547.529766 1514560198283400088 1514560198617195564 7.836886
#Experience summarry : avg : 547.529766 :: std : 7.836886 :: min : 536.419844 :: max : 561.294060 :: median : 548.474932

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 400 10 64 475.291703 1514560255479699441 1514560255870019297 8.463741
#Experience summarry : avg : 475.291703 :: std : 8.463741 :: min : 457.445273 :: max : 486.595732 :: median : 478.537139

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 64 10 64 13.049886 1514560450196449329 1514560464225195714 0.017768
#Experience summarry : avg : 13.049886 :: std : 0.017768 :: min : 13.019136 :: max : 13.078990 :: median : 13.049607

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 72 10 64 35.529121 1514560569719293326 1514560574893848439 0.081594
#Experience summarry : avg : 35.529121 :: std : 0.081594 :: min : 35.420534 :: max : 35.692605 :: median : 35.511126

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 88 10 64 62.592487 1514560657650975815 1514560660582621556 0.280200
#Experience summarry : avg : 62.592487 :: std : 0.280200 :: min : 62.072982 :: max : 63.075725 :: median : 62.656479

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 104 10 64 138.396591 1514560727162246590 1514560728493484063 0.998300
#Experience summarry : avg : 138.396591 :: std : 0.998300 :: min : 136.979542 :: max : 140.483321 :: median : 138.347465

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 112 10 64 113.137817 1514560798140303149 1514560799694509845 3.101780
#Experience summarry : avg : 113.137817 :: std : 3.101780 :: min : 107.065657 :: max : 117.928708 :: median : 113.950989

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 120 10 64 217.531874 1514560861264650807 1514560862102181043 3.779770
#Experience summarry : avg : 217.531874 :: std : 3.779770 :: min : 208.889541 :: max : 223.555703 :: median : 218.814128

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 136 10 64 483.328600 1514560919191821818 1514560919563016804 5.222174
#Experience summarry : avg : 483.328600 :: std : 5.222174 :: min : 475.304768 :: max : 493.768810 :: median : 481.702675

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 448 10 64 427.187529 1514560976965924761 1514560977393174692 6.436685
#Experience summarry : avg : 427.187529 :: std : 6.436685 :: min : 418.016361 :: max : 439.619965 :: median : 428.989917

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 224 10 64 564.620461 1514563828140948706 1514563828468087096 7.239924
#Experience summarry : avg : 564.620461 :: std : 7.239924 :: min : 555.721877 :: max : 581.164922 :: median : 562.442671

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 200 10 128 677.100137 1514566537927486794 1514566538195753433 15.141184
#Experience summarry : avg : 677.100137 :: std : 15.141184 :: min : 638.478624 :: max : 695.483148 :: median : 680.974112

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 208 10 128 675.297572 1514566594385110348 1514566594660449340 13.854876
#Experience summarry : avg : 675.297572 :: std : 13.854876 :: min : 653.899580 :: max : 699.493347 :: median : 682.355257

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 216 10 128 663.450674 1514566650902876670 1514566651179257093 10.387179
#Experience summarry : avg : 663.450674 :: std : 10.387179 :: min : 644.250997 :: max : 680.074699 :: median : 663.165246

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 224 10 128 636.112442 1514566707615123831 1514566707905418813 11.020244
#Experience summarry : avg : 636.112442 :: std : 11.020244 :: min : 617.829770 :: max : 651.901700 :: median : 637.699006

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 232 10 128 644.854182 1514566764213985655 1514566764502930402 20.906471
#Experience summarry : avg : 644.854182 :: std : 20.906471 :: min : 600.001623 :: max : 671.210712 :: median : 653.039708

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 248 10 128 638.671978 1514566820813347429 1514566821107528219 13.354636
#Experience summarry : avg : 638.671978 :: std : 13.354636 :: min : 618.556060 :: max : 664.121421 :: median : 636.494143

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 264 10 128 607.699183 1514566877525219573 1514566877837541093 22.985441
#Experience summarry : avg : 607.699183 :: std : 22.985441 :: min : 582.260086 :: max : 661.926725 :: median : 604.529740

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 272 10 128 606.527910 1514566934456074489 1514566934754749897 11.119411
#Experience summarry : avg : 606.527910 :: std : 11.119411 :: min : 590.192829 :: max : 622.055184 :: median : 611.127074

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 288 10 128 605.696202 1514566991257238517 1514566991559599950 10.823914
#Experience summarry : avg : 605.696202 :: std : 10.823914 :: min : 591.266374 :: max : 623.721191 :: median : 606.178588

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 304 10 128 613.139818 1514567047995518862 1514567048304055557 14.797466
#Experience summarry : avg : 613.139818 :: std : 14.797466 :: min : 594.048871 :: max : 648.961356 :: median : 608.426727

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 64 10 128 4.654564 1514567496354430260 1514567535638317119 0.012640
#Experience summarry : avg : 4.654564 :: std : 0.012640 :: min : 4.629947 :: max : 4.666168 :: median : 4.664294

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 80 10 128 27.309991 1514567657173419768 1514567663889622270 0.134295
#Experience summarry : avg : 27.309991 :: std : 0.134295 :: min : 27.108712 :: max : 27.521116 :: median : 27.290051

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 320 10 128 567.615785 1514567720531239956 1514567720853107690 10.111246
#Experience summarry : avg : 567.615785 :: std : 10.111246 :: min : 549.015478 :: max : 585.760107 :: median : 567.765518

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 336 10 128 543.296822 1514567777681153089 1514567778016010960 12.893819
#Experience summarry : avg : 543.296822 :: std : 12.893819 :: min : 520.262935 :: max : 567.707658 :: median : 547.352986

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 352 10 128 537.103768 1514567834952807182 1514567835286444968 11.841370
#Experience summarry : avg : 537.103768 :: std : 11.841370 :: min : 516.733713 :: max : 556.447532 :: median : 540.128435

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 400 10 128 458.673719 1514567892665190318 1514567893075656465 8.545252
#Experience summarry : avg : 458.673719 :: std : 8.545252 :: min : 445.863188 :: max : 470.505731 :: median : 461.004013

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 88 10 128 45.874995 1514567987308293915 1514567991305067278 0.321776
#Experience summarry : avg : 45.874995 :: std : 0.321776 :: min : 45.402468 :: max : 46.541367 :: median : 45.810356

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 104 10 128 93.793116 1514568064781258591 1514568066757737506 0.753530
#Experience summarry : avg : 93.793116 :: std : 0.753530 :: min : 92.733335 :: max : 94.879219 :: median : 93.520832

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
