program runtime init size blocksize inner_blocksize iterations threads gflops start end std
dpotrf_taskdep clang numactl 8192 256 NA 5 192 823.728606 1517089094008281078 1517089094229978907 8.955169
dpotrf_taskdep clang numactl 16384 256 NA 5 192 1571.567029 1517089130031466567 1517089130956595242 7.722035
dpotrf_taskdep clang numactl 32768 512 NA 5 192 2206.976756 1517089208056724152 1517089213355671114 9.315652
dpotrf_taskdep clang numactl 49152 512 NA 5 192 2414.009386 1517089383257666875 1517089399643740527 6.618822
dpotrf_taskdep clang numactl 65536 512 NA 5 192 2502.417987 1517089722020115498 1517089759517301985 4.322623
dgeqrf_taskdep clang numactl 8192 256 128 5 192 442.702427 1517089806636385874 1517089808287860142 1.532847
dgeqrf_taskdep clang numactl 16384 256 128 5 192 631.615435 1517089886780603126 1517089896056214688 0.888238
dgeqrf_taskdep clang numactl 32768 512 128 5 192 1389.852177 1517090118749276706 1517090152512999295 0.739470
dgeqrf_taskdep clang numactl 49152 512 128 5 192 1480.588546 1517090776129106179 1517090883074331499 0.560092
dgeqrf_taskdep clang numactl 65536 512 128 5 192 1505.703597 1517092275365586113 1517092524609967835 0.242063
dpotrf_taskdep libgomp numactl 8192 256 NA 5 192 667.446880 1517095355542261574 1517095355812448883 12.565955
dpotrf_taskdep libgomp numactl 16384 296 NA 3 192 1452.985997 1517159908387100777 1517159909395438672 17.634364
dpotrf_taskdep libgomp numactl 32768 512 NA 5 192 2159.981765 1517095498577249890 1517095504023827444 12.737425
dpotrf_taskdep libgomp numactl 49152 512 NA 5 192 2441.593820 1517095675118998984 1517095691277623807 10.699866
dpotrf_taskdep libgomp numactl 65536 512 NA 5 192 2544.151025 1517096013052800121 1517096050086092566 7.778266
dgeqrf_taskdep libgomp numactl 8192 256 128 5 192 446.854931 1517096098552758465 1517096100187035556 1.496690
dgeqrf_taskdep libgomp numactl 16384 256 128 5 192 645.174981 1517096184112596948 1517096193194344366 1.903305
dgeqrf_taskdep libgomp numactl 32768 512 128 5 192 1423.109075 1517096411423618644 1517096444379591831 0.822707
dgeqrf_taskdep libgomp numactl 49152 512 128 5 192 1532.277476 1517097050362316330 1517097153686603378 0.533573
dgeqrf_taskdep libgomp numactl 65536 512 128 5 192 1564.180514 1517098500395781173 1517098740091730318 0.852069
dpotrf_taskdep libkomp cyclic 8192 256 NA 5 192 795.114278 1517092566333169704 1517092566573411889 27.378609
dpotrf_taskdep libkomp cyclic 16384 256 NA 5 192 1774.690666 1517092600758243354 1517092601588472220 12.043419
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 192 2392.431255 1517092668362793532 1517092673218672255 19.927726
dpotrf_taskdep libkomp cyclic 49152 512 NA 5 192 2619.060762 1517092807691165030 1517092822823331101 7.818958
dpotrf_taskdep libkomp cyclic 65536 512 NA 5 192 2787.544870 1517093079780459703 1517093113400736970 3.640720
dgeqrf_taskdep libkomp cyclic 8192 256 128 5 192 415.942796 1517093152876821246 1517093154644893620 1.332095
dgeqrf_taskdep libkomp cyclic 16384 256 128 5 192 544.325089 1517093238911294378 1517093249586548839 3.806453
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 192 1616.024341 1517093437554067932 1517093466604971159 3.257009
dgeqrf_taskdep libkomp cyclic 49152 512 128 5 192 2013.349933 1517093922569309519 1517094001429670639 3.701605
dgeqrf_taskdep libkomp cyclic 65536 512 128 5 192 1831.707547 1517095117033153748 1517095321532543855 2.368760
dpotrf_taskdep clang numactl 32768 512 NA 5 16 222.690542 1517258185122871751 1517258237797124821 0.080574
dpotrf_taskdep clang numactl 32768 512 NA 5 128 1600.520596 1517260125057850891 1517260132380276173 8.114727
dpotrf_taskdep clang numactl 32768 512 NA 5 96 1249.599890 1517260551056955939 1517260560447420636 1.735640
dpotrf_taskdep clang numactl 32768 512 NA 5 144 1761.421730 1517261041863952137 1517261048542386140 5.496677
dpotrf_taskdep clang numactl 32768 512 NA 5 64 860.145546 1517261468321267842 1517261481918018208 1.329180
dpotrf_taskdep clang numactl 32768 512 NA 5 32 439.190158 1517262201156967232 1517262227812535201 0.909280
dpotrf_taskdep clang numactl 32768 512 NA 5 48 652.389094 1517263338423576969 1517263356402430177 1.291379
dpotrf_taskdep clang numactl 32768 512 NA 5 8 114.107754 1517264607910095208 1517264710676656286 0.025486
dgeqrf_taskdep clang numactl 32768 512 128 5 16 160.675462 1517259745816028234 1517260038066098228 0.349151
dgeqrf_taskdep clang numactl 32768 512 128 5 128 1045.977252 1517260408516210948 1517260453309613848 1.118254
dgeqrf_taskdep clang numactl 32768 512 128 5 96 817.302334 1517260899289473987 1517260956826779639 1.729644
dgeqrf_taskdep clang numactl 32768 512 128 5 144 1136.538912 1517261308053214925 1517261349313552458 0.465869
dgeqrf_taskdep clang numactl 32768 512 128 5 64 576.707120 1517261939423691336 1517262020812602589 0.197566
dgeqrf_taskdep clang numactl 32768 512 128 5 32 303.551727 1517263047407387020 1517263201850985234 0.372291
dgeqrf_taskdep clang numactl 32768 512 128 5 48 441.819149 1517263934859248338 1517264041027119503 0.233611
dgeqrf_taskdep clang numactl 32768 512 128 5 8 85.794157 1517267495068541988 1517268041529066137 0.029767
dpotrf_taskdep libgomp numactl 32768 512 NA 5 16 228.573158 1517276405800082100 1517276457066284873 0.240272
dpotrf_taskdep libgomp numactl 32768 512 NA 5 128 1616.998803 1517278286390453923 1517278293612402579 3.692702
dpotrf_taskdep libgomp numactl 32768 512 NA 5 96 1272.988633 1517278706418014033 1517278715665331379 2.631328
dpotrf_taskdep libgomp numactl 32768 512 NA 5 144 1762.313738 1517279191032048921 1517279197683512115 3.423395
dpotrf_taskdep libgomp numactl 32768 512 NA 5 64 883.582885 1517279610895834378 1517279624157227248 1.377487
dpotrf_taskdep libgomp numactl 32768 512 NA 5 32 453.241888 1517280330091999853 1517280355962599217 0.503540
dpotrf_taskdep libgomp numactl 32768 512 NA 5 48 671.934643 1517281443096816543 1517281460537529622 0.544556
dpotrf_taskdep libgomp numactl 32768 512 NA 5 8 115.170708 1517282692702990397 1517282794343134909 0.127010
dgeqrf_taskdep libgomp numactl 32768 512 128 5 16 166.219648 1517277916792629369 1517278198794192021 0.073517
dgeqrf_taskdep libgomp numactl 32768 512 128 5 128 1069.276351 1517278565295856293 1517278609177513875 0.399417
dgeqrf_taskdep libgomp numactl 32768 512 128 5 96 835.949445 1517279048599040871 1517279104777765881 0.651444
dgeqrf_taskdep libgomp numactl 32768 512 128 5 144 1161.206977 1517279453548428932 1517279493943427837 2.085673
dgeqrf_taskdep libgomp numactl 32768 512 128 5 64 588.012367 1517280074002158831 1517280153821649414 0.283333
dgeqrf_taskdep libgomp numactl 32768 512 128 5 32 310.963797 1517281157717269744 1517281308541020148 0.111486
dgeqrf_taskdep libgomp numactl 32768 512 128 5 48 452.072746 1517282027078728098 1517282130842424337 0.072006
dgeqrf_taskdep libgomp numactl 32768 512 128 5 8 87.706023 1517285518436869143 1517286053306679444 0.041434
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 16 262.019609 1517268306081412668 1517268350862154850 0.170736
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 128 1740.546576 1517269765743716661 1517269772502569632 7.328811
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 96 1371.423704 1517270108001535237 1517270116541247418 3.865698
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 144 1858.557849 1517270535010883082 1517270541303553354 4.867259
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 64 967.725290 1517270916665128047 1517270928801707821 0.881860
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 32 506.677786 1517271500865707445 1517271524009703899 0.821985
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 48 726.696885 1517272389125632323 1517272405263681780 0.348900
dpotrf_taskdep libkomp cyclic 32768 512 NA 5 8 134.700290 1517273483401297003 1517273570393085352 0.143182
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 16 216.011314 1517269474449270864 1517269691766165834 0.073442
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 128 1351.637890 1517269988087676423 1517270022848108445 2.023026
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 96 935.376678 1517270410177781450 1517270460436612601 1.555885
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 144 1225.879442 1517270776975008895 1517270815425812619 3.227213
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 64 746.126563 1517271282845432465 1517271345724257597 0.608725
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 32 398.452009 1517272151836711618 1517272269585132427 0.035431
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 48 501.535708 1517272912469686189 1517273006063134204 0.438958
dgeqrf_taskdep libkomp cyclic 32768 512 128 5 8 112.742948 1517275686668569733 1517276102845315247 0.098594
dpotrf_taskdep clang numactl 8192 256 NA 5 16 198.255006 1517299240664502137 1517299241585951293 1.284890
dpotrf_taskdep clang numactl 8192 256 NA 5 128 792.687496 1517299269175147262 1517299269407227925 10.385335
dpotrf_taskdep clang numactl 8192 256 NA 5 96 721.571380 1517299297111852596 1517299297365741211 10.734133
dpotrf_taskdep clang numactl 8192 256 NA 5 144 797.583465 1517299325056462681 1517299325280589510 18.790611
dpotrf_taskdep clang numactl 8192 256 NA 5 64 604.895496 1517299353191440133 1517299353502311967 9.458975
dpotrf_taskdep clang numactl 8192 256 NA 5 32 367.172497 1517299382217514735 1517299382707460352 7.744047
dpotrf_taskdep clang numactl 8192 256 NA 5 48 501.013043 1517299410663224062 1517299411032200823 3.074087
dpotrf_taskdep clang numactl 8192 256 NA 5 8 102.565050 1517299446533864422 1517299448347929884 1.266330
dpotrf_taskdep libgomp numactl 8192 256 NA 5 16 219.135881 1517299716474671325 1517299717309899514 0.682404
dpotrf_taskdep libgomp numactl 8192 256 NA 5 128 701.007148 1517299745151428586 1517299745417929958 10.053581
dpotrf_taskdep libgomp numactl 8192 256 NA 5 96 676.268770 1517299773246928529 1517299773520205189 5.266665
dpotrf_taskdep libgomp numactl 8192 256 NA 5 144 711.286949 1517299802003435124 1517299802261506808 3.358302
dpotrf_taskdep libgomp numactl 8192 256 NA 5 64 575.605089 1517299830257424134 1517299830577956813 3.888144
dpotrf_taskdep libgomp numactl 8192 256 NA 5 32 381.485661 1517299859139623171 1517299859621564988 0.703625
dpotrf_taskdep libgomp numactl 8192 256 NA 5 48 490.968473 1517299887624045719 1517299887995468626 3.421314
dpotrf_taskdep libgomp numactl 8192 256 NA 5 8 113.924874 1517299922607459507 1517299924218422102 0.093453
dpotrf_taskdep libkomp cyclic 8192 256 NA 5 16 238.435230 1517299478789428571 1517299479560347037 0.701391
dpotrf_taskdep libkomp cyclic 8192 256 NA 5 128 845.541486 1517299507411284578 1517299507626931797 8.492163
dpotrf_taskdep libkomp cyclic 8192 256 NA 5 96 721.288659 1517299535764112851 1517299536012089181 16.022740
dpotrf_taskdep libkomp cyclic 8192 256 NA 5 144 742.863743 1517299564198970391 1517299564441436975 9.312173
dpotrf_taskdep libkomp cyclic 8192 256 NA 5 64 660.225381 1517299592589219900 1517299592868240406 7.198904
dpotrf_taskdep libkomp cyclic 8192 256 NA 5 32 418.638393 1517299621739532723 1517299622176411708 1.791508
dpotrf_taskdep libkomp cyclic 8192 256 NA 5 48 529.473881 1517299650529173329 1517299650882061888 6.910969
