program runtime init size blocksize iterations threads gflops start end std
dpotrf_taskdep clang parallel 32768 512 3 192 1118.773713 1517086408584663207 1517086420162133719 208.739402
dpotrf_taskdep clang seq 32768 512 3 192 287.439474 1517086640635449800 1517086681457789907 0.325087
dpotrf_taskdep clang numactl 32768 512 3 192 2181.659910 1517086826658335702 1517086831988847845 22.665692
dpotrf_taskdep libgomp parallel 32768 512 3 192 911.497023 1517086911553942344 1517086925210590817 91.404877
dpotrf_taskdep libgomp seq 32768 512 3 192 302.020795 1517087154299710939 1517087192861204463 1.698419
dpotrf_taskdep libgomp numactl 32768 512 3 192 2158.268687 1517087337799292096 1517087343215304469 5.261794
dpotrf_taskdep libkomp node 32768 512 3 192 300.657399 1517135663872542438 1517135702889029494 0.767051
dpotrf_taskdep libkomp cyclic 32768 512 3 192 2392.988607 1517138746252896925 1517138751175391171 7.327627
dpotrf_taskdep libkomp random 32768 512 3 192 2290.363391 1517138649358410286 1517138654485347578 5.689131
dpotrf_taskdep libkomp parallel 32768 512 5 192 1050.186904 1517154756718542093 1517154767635485453 120.235024
