Resource, Numa, Start, End, Duration, Explicit, Aff, Strict, Tag, Name
4, 0, 1527065178913572703, 1527065178936734070, 23161367, 1, 2, 1, 0, init
9, 1, 1527065178914168370, 1527065178932667379, 18499009, 1, 2, 1, 1, init
22, 2, 1527065178914320722, 1527065178953887613, 39566891, 1, 2, 1, 2, init
28, 3, 1527065178914462729, 1527065178954260635, 39797906, 1, 2, 1, 3, init
37, 4, 1527065178914619687, 1527065178953107837, 38488150, 1, 2, 1, 4, init
45, 5, 1527065178914815533, 1527065178953585081, 38769548, 1, 2, 1, 5, init
55, 6, 1527065178915028812, 1527065178955088000, 40059188, 1, 2, 1, 6, init
60, 7, 1527065178915269057, 1527065178954275024, 39005967, 1, 2, 1, 7, init
7, 0, 1527065178915272554, 1527065178939666631, 24394077, 1, 2, 1, 0, init
15, 1, 1527065178915280597, 1527065178933512410, 18231813, 1, 2, 1, 1, init
17, 2, 1527065178915287699, 1527065178954858781, 39571082, 1, 2, 1, 2, init
25, 3, 1527065178915296688, 1527065178955041271, 39744583, 1, 2, 1, 3, init
33, 4, 1527065178915302973, 1527065178953721602, 38418629, 1, 2, 1, 4, init
43, 5, 1527065178915312352, 1527065178954144207, 38831855, 1, 2, 1, 5, init
52, 6, 1527065178915320868, 1527065178954401164, 39080296, 1, 2, 1, 6, init
59, 7, 1527065178915328850, 1527065178954820016, 39491166, 1, 2, 1, 7, init
5, 0, 1527065178915335362, 1527065178939258083, 23922721, 1, 2, 1, 0, init
13, 1, 1527065178915342604, 1527065178932905692, 17563088, 1, 2, 1, 1, init
20, 2, 1527065178915354515, 1527065178953916404, 38561889, 1, 2, 1, 2, init
29, 3, 1527065178915365826, 1527065178954589359, 39223533, 1, 2, 1, 3, init
36, 4, 1527065178915370333, 1527065178953150361, 37780028, 1, 2, 1, 4, init
47, 5, 1527065178915380537, 1527065178954234348, 38853811, 1, 2, 1, 5, init
50, 6, 1527065178915392060, 1527065178956310783, 40918723, 1, 2, 1, 6, init
61, 7, 1527065178915400204, 1527065178954427125, 39026921, 1, 2, 1, 7, init
2, 0, 1527065178915406918, 1527065178940039527, 24632609, 1, 2, 1, 0, init
12, 1, 1527065178915412860, 1527065178933267900, 17855040, 1, 2, 1, 1, init
18, 2, 1527065178915430094, 1527065178954791895, 39361801, 1, 2, 1, 2, init
32, 4, 1527065178915431069, 1527065178953677736, 38246667, 1, 2, 1, 4, init
27, 3, 1527065178915437429, 1527065178955362218, 39924789, 1, 2, 1, 3, init
41, 5, 1527065178915444751, 1527065178955067700, 39622949, 1, 2, 1, 5, init
53, 6, 1527065178915445190, 1527065178954400935, 38955745, 1, 2, 1, 6, init
58, 7, 1527065178915450805, 1527065178955616118, 40165313, 1, 2, 1, 7, init
1, 0, 1527065178915453502, 1527065178940203967, 24750465, 1, 2, 1, 0, init
10, 1, 1527065178915460910, 1527065178933934118, 18473208, 1, 2, 1, 1, init
16, 2, 1527065178915477934, 1527065178954973180, 39495246, 1, 2, 1, 2, init
31, 3, 1527065178915495803, 1527065178955822515, 40326712, 1, 2, 1, 3, init
34, 4, 1527065178915499638, 1527065178954114363, 38614725, 1, 2, 1, 4, init
44, 5, 1527065178915507079, 1527065178953669634, 38162555, 1, 2, 1, 5, init
49, 6, 1527065178915510686, 1527065178956726553, 41215867, 1, 2, 1, 6, init
57, 7, 1527065178915518779, 1527065178954566031, 39047252, 1, 2, 1, 7, init
6, 0, 1527065178915530840, 1527065178940836899, 25306059, 1, 2, 1, 0, init
8, 1, 1527065178915532444, 1527065178934521665, 18989221, 1, 2, 1, 1, init
26, 3, 1527065178915568171, 1527065178957532464, 41964293, 1, 2, 1, 3, init
39, 4, 1527065178915576262, 1527065178954136340, 38560078, 1, 2, 1, 4, init
23, 2, 1527065178915577618, 1527065178958692331, 43114713, 1, 2, 1, 2, init
46, 5, 1527065178915604391, 1527065178953985102, 38380711, 1, 2, 1, 5, init
48, 6, 1527065178915608825, 1527065178957458016, 41849191, 1, 2, 1, 6, init
3, 0, 1527065178915611774, 1527065178941700116, 26088342, 1, 2, 1, 0, init
11, 1, 1527065178915623421, 1527065178934852707, 19229286, 1, 2, 1, 1, init
56, 7, 1527065178915634283, 1527065178959872169, 44237886, 1, 2, 1, 7, init
19, 2, 1527065178915661330, 1527065178955694000, 40032670, 1, 2, 1, 2, init
30, 3, 1527065178915665658, 1527065178955466130, 39800472, 1, 2, 1, 3, init
38, 4, 1527065178915693484, 1527065178953799397, 38105913, 1, 2, 1, 4, init
54, 6, 1527065178915696449, 1527065178955041044, 39344595, 1, 2, 1, 6, init
40, 5, 1527065178915700177, 1527065178954555697, 38855520, 1, 2, 1, 5, init
14, 1, 1527065178915710467, 1527065178935145962, 19435495, 1, 2, 1, 1, init
62, 7, 1527065178915720141, 1527065178955338171, 39618030, 1, 2, 1, 7, init
21, 2, 1527065178915748339, 1527065178954769954, 39021615, 1, 2, 1, 2, init
24, 3, 1527065178915750490, 1527065178955954438, 40203948, 1, 2, 1, 3, init
35, 4, 1527065178915762127, 1527065178956463776, 40701649, 1, 2, 1, 4, init
51, 6, 1527065178915779156, 1527065178956980054, 41200898, 1, 2, 1, 6, init
42, 5, 1527065178915784039, 1527065178959212537, 43428498, 1, 2, 1, 5, init
63, 7, 1527065178915785653, 1527065178955908795, 40123142, 1, 2, 1, 7, init
9, 1, 1527065178932705124, 1527065178949275314, 16570190, 1, 2, 1, 1, init
13, 1, 1527065178932916453, 1527065178949584960, 16668507, 1, 2, 1, 1, init
12, 1, 1527065178933278998, 1527065178950087277, 16808279, 1, 2, 1, 1, init
15, 1, 1527065178933529255, 1527065178950855754, 17326499, 1, 2, 1, 1, init
10, 1, 1527065178933948021, 1527065178951384510, 17436489, 1, 2, 1, 1, init
8, 1, 1527065178934537930, 1527065178951462274, 16924344, 1, 2, 1, 1, init
11, 1, 1527065178934869050, 1527065178951854240, 16985190, 1, 2, 1, 1, init
14, 1, 1527065178935163105, 1527065178951652344, 16489239, 1, 2, 1, 1, init
4, 0, 1527065178936799429, 1527065178959451050, 22651621, 1, 2, 1, 0, init
5, 0, 1527065178939269990, 1527065178959430989, 20160999, 1, 2, 1, 0, init
7, 0, 1527065178939674082, 1527065178962565183, 22891101, 1, 2, 1, 0, init
2, 0, 1527065178940063070, 1527065178962770019, 22706949, 1, 2, 1, 0, init
