Progname Runtime Size Blocksize Iterations Threads Gflops startTime endTime Stddev
dpotrf_taskdep libGOMP 8192 256 3 1 16.330002 1515586021555038564 1515586032778907419 0.000713
dpotrf_taskdep libGOMP 8192 256 3 2 32.619203 1515586066093720725 1515586071711640122 0.004784
dpotrf_taskdep libGOMP 8192 256 3 4 64.953557 1515586095983146087 1515586098805450766 0.010117
dpotrf_taskdep libGOMP 8192 256 3 8 128.439635 1515586118564457936 1515586119991219423 0.036692
dpotrf_taskdep libGOMP 8192 256 3 12 180.435345 1515586138601577876 1515586139618185817 0.181004
dpotrf_taskdep libGOMP 8192 256 3 16 235.060280 1515586157476342624 1515586158255073080 0.226169
dpotrf_taskdep libGOMP 8192 256 3 24 320.903436 1515586175492040415 1515586176061124650 1.249116
dpotrf_taskdep libGOMP 8192 256 3 32 388.506832 1515586193036236708 1515586193507972733 0.471136
dpotrf_taskdep libGOMP 8192 256 3 40 446.841431 1515586210337370173 1515586210748394440 1.364573
dpotrf_taskdep libGOMP 8192 256 3 48 489.345805 1515586227499701625 1515586227873221563 2.792480
dpotrf_taskdep libGOMP 8192 256 3 64 542.334411 1515586244763147278 1515586245103491587 2.995427
dpotrf_taskdep libGOMP 8192 256 3 80 585.901514 1515586261988190234 1515586262303452741 4.000777
dpotrf_taskdep libGOMP 8192 256 3 96 575.880504 1515586279259274701 1515586279574813130 9.280954
dpotrf_taskdep libGOMP 8192 256 3 128 441.118099 1515586297229239762 1515586297617002362 22.444596
dpotrf_taskdep libGOMP 8192 256 3 160 546.031380 1515586314895071686 1515586315226169971 5.400898
dpotrf_taskdep libGOMP 8192 256 3 192 516.898507 1515586332589070215 1515586332927490338 18.886778
dpotrf_taskdep libKOMP-Affinité 8192 256 3 1 16.337620 1515770408540528837 1515770419758764795 0.001142
dpotrf_taskdep libKOMP-Affinité 8192 256 3 2 32.359392 1515770453711090795 1515770459375131648 0.002021
dpotrf_taskdep libKOMP-Affinité 8192 256 3 4 64.297664 1515770484232457068 1515770487084113844 0.017254
dpotrf_taskdep libKOMP-Affinité 8192 256 3 8 126.333306 1515770507415417737 1515770508865627019 0.160085
dpotrf_taskdep libKOMP-Affinité 8192 256 3 12 181.631965 1515770528267720542 1515770529274851084 0.530465
dpotrf_taskdep libKOMP-Affinité 8192 256 3 16 238.689590 1515770547583368897 1515770548350520946 0.224001
dpotrf_taskdep libKOMP-Affinité 8192 256 3 24 323.872813 1515770566321049563 1515770566888059178 1.986152
dpotrf_taskdep libKOMP-Affinité 8192 256 3 32 420.444725 1515770584475600413 1515770584907906796 3.963816
dpotrf_taskdep libKOMP-Affinité 8192 256 3 40 458.063267 1515770602434090902 1515770602833822565 0.703111
dpotrf_taskdep libKOMP-Affinité 8192 256 3 48 533.535568 1515770620185786330 1515770620531036445 1.879349
dpotrf_taskdep libKOMP-Affinité 8192 256 3 64 656.876937 1515770637716144032 1515770637995511226 6.471421
dpotrf_taskdep libKOMP-Affinité 8192 256 3 80 654.068904 1515770655244430049 1515770655530628647 12.055475
dpotrf_taskdep libKOMP-Affinité 8192 256 3 96 716.009662 1515770672763875242 1515770673013907841 14.415509
dpotrf_taskdep libKOMP-Affinité 8192 256 3 128 818.701737 1515770690153768409 1515770690373538223 49.092253
dpotrf_taskdep libKOMP-Affinité 8192 256 3 160 735.225127 1515770707677586862 1515770707904778468 64.076138
dpotrf_taskdep libKOMP-Affinité 8192 256 3 192 802.461607 1515770725204384260 1515770725434553963 17.644195
dpotrf_taskdep simulation 8192 256 1 1 13.6007 0 0 0
dpotrf_taskdep simulation 8192 256 1 2 27.1639 0 0 0
dpotrf_taskdep simulation 8192 256 1 3 40.6751 0 0 0
dpotrf_taskdep simulation 8192 256 1 4 54.1571 0 0 0
dpotrf_taskdep simulation 8192 256 1 5 67.4672 0 0 0
dpotrf_taskdep simulation 8192 256 1 6 80.7755 0 0 0
dpotrf_taskdep simulation 8192 256 1 7 93.9835 0 0 0
dpotrf_taskdep simulation 8192 256 1 8 107.136 0 0 0
dpotrf_taskdep simulation 8192 256 1 9 120.139 0 0 0
dpotrf_taskdep simulation 8192 256 1 10 133.264 0 0 0
dpotrf_taskdep simulation 8192 256 1 11 146.174 0 0 0
dpotrf_taskdep simulation 8192 256 1 12 159.177 0 0 0
dpotrf_taskdep simulation 8192 256 1 13 172.184 0 0 0
dpotrf_taskdep simulation 8192 256 1 14 184.304 0 0 0
dpotrf_taskdep simulation 8192 256 1 15 196.333 0 0 0
dpotrf_taskdep simulation 8192 256 1 16 209.022 0 0 0
dpotrf_taskdep simulation 8192 256 1 17 219.809 0 0 0
dpotrf_taskdep simulation 8192 256 1 18 233.89 0 0 0
dpotrf_taskdep simulation 8192 256 1 19 245.054 0 0 0
dpotrf_taskdep simulation 8192 256 1 20 256.732 0 0 0
dpotrf_taskdep simulation 8192 256 1 21 270.251 0 0 0
dpotrf_taskdep simulation 8192 256 1 22 280.792 0 0 0
dpotrf_taskdep simulation 8192 256 1 23 295.627 0 0 0
dpotrf_taskdep simulation 8192 256 1 24 307.233 0 0 0
dpotrf_taskdep simulation 8192 256 1 25 314.534 0 0 0
dpotrf_taskdep simulation 8192 256 1 26 328.786 0 0 0
dpotrf_taskdep simulation 8192 256 1 27 339.381 0 0 0
dpotrf_taskdep simulation 8192 256 1 28 350.508 0 0 0
dpotrf_taskdep simulation 8192 256 1 29 361.711 0 0 0
dpotrf_taskdep simulation 8192 256 1 30 370.364 0 0 0
dpotrf_taskdep simulation 8192 256 1 31 381.29 0 0 0
dpotrf_taskdep simulation 8192 256 1 32 392.915 0 0 0
dpotrf_taskdep simulation 8192 256 1 33 410.964 0 0 0
dpotrf_taskdep simulation 8192 256 1 34 418.842 0 0 0
dpotrf_taskdep simulation 8192 256 1 35 419.25 0 0 0
dpotrf_taskdep simulation 8192 256 1 36 438.532 0 0 0
dpotrf_taskdep simulation 8192 256 1 37 454.081 0 0 0
dpotrf_taskdep simulation 8192 256 1 38 454.326 0 0 0
dpotrf_taskdep simulation 8192 256 1 39 473.79 0 0 0
dpotrf_taskdep simulation 8192 256 1 40 485.444 0 0 0
dpotrf_taskdep simulation 8192 256 1 41 484.167 0 0 0
dpotrf_taskdep simulation 8192 256 1 42 495.992 0 0 0
