program runtime size blocksize iteration threads gflops model strat visits_per_task steals_per_task foo
dpotrf_taskdep simulation 8192 256 1 3 40.5163 IdchireAffinityAVG RandLoc 2.76588 1.02423 0
dpotrf_taskdep simulation 8192 256 1 4 53.9821 IdchireAffinityAVG RandLoc 3.38369 1.02791 0
dpotrf_taskdep simulation 8192 256 1 1 13.6048 IdchireAffinityAVG RandLoc 1.00033 1.00017 0
dpotrf_taskdep simulation 8192 256 1 6 80.5015 IdchireAffinityAVG RandLoc 4.78108 1.06501 0
dpotrf_taskdep simulation 8192 256 1 8 107.196 IdchireAffinityAVG RandLoc 6.0015 1.07938 0
dpotrf_taskdep simulation 8192 256 1 2 27.0046 IdchireAffinityAVG RandLoc 2.04245 1.01604 0
dpotrf_taskdep simulation 8192 256 1 10 133.534 IdchireAffinityAVG RandLoc 8.03877 1.14957 0
dpotrf_taskdep simulation 8192 256 1 12 160.45 IdchireAffinityAVG RandLoc 9.50919 1.1636 0
dpotrf_taskdep simulation 8192 256 1 14 186.522 IdchireAffinityAVG RandLoc 11.5623 1.21207 0
dpotrf_taskdep simulation 8192 256 1 11 147.311 IdchireAffinityAVG RandLoc 8.63252 1.1494 0
dpotrf_taskdep simulation 8192 256 1 5 67.3484 IdchireAffinityAVG RandLoc 4.00752 1.0391 0
dpotrf_taskdep simulation 8192 256 1 7 93.7235 IdchireAffinityAVG RandLoc 5.47326 1.07888 0
dpotrf_taskdep simulation 8192 256 1 16 213.547 IdchireAffinityAVG RandLoc 13.3697 1.23128 0
dpotrf_taskdep simulation 8192 256 1 15 200.4 IdchireAffinityAVG RandLoc 12.3957 1.23028 0
dpotrf_taskdep simulation 8192 256 1 18 237.603 IdchireAffinityAVG RandLoc 16.6212 1.33172 0
dpotrf_taskdep simulation 8192 256 1 19 249.977 IdchireAffinityAVG RandLoc 18.4205 1.37851 0
dpotrf_taskdep simulation 8192 256 1 20 263.526 IdchireAffinityAVG RandLoc 20.3999 1.42764 0
dpotrf_taskdep simulation 8192 256 1 13 174.336 IdchireAffinityAVG RandLoc 10.2929 1.1733 0
dpotrf_taskdep simulation 8192 256 1 9 120.746 IdchireAffinityAVG RandLoc 6.84759 1.09525 0
dpotrf_taskdep simulation 8192 256 1 22 287.897 IdchireAffinityAVG RandLoc 23.553 1.49131 0
dpotrf_taskdep simulation 8192 256 1 23 297.12 IdchireAffinityAVG RandLoc 27.2174 1.59542 0
dpotrf_taskdep simulation 8192 256 1 26 335.258 IdchireAffinityAVG RandLoc 32.611 1.68165 0
dpotrf_taskdep simulation 8192 256 1 17 224.398 IdchireAffinityAVG RandLoc 15.5503 1.31501 0
dpotrf_taskdep simulation 8192 256 1 21 273.976 IdchireAffinityAVG RandLoc 22.993 1.50618 0
dpotrf_taskdep simulation 8192 256 1 29 372.693 IdchireAffinityAVG RandLoc 41.5399 1.8516 0
dpotrf_taskdep simulation 8192 256 1 27 343.931 IdchireAffinityAVG RandLoc 38.3321 1.84325 0
dpotrf_taskdep simulation 8192 256 1 24 308.905 IdchireAffinityAVG RandLoc 29.4455 1.6494 0
