threads  kid  date(rdtsc)     duration  task_id
192        7    404481518      3882464  dgemm
192        2    404473170      3897520  dgemm
192        1    404489946      3881492  dgemm
192        3    405172106      3310056  dgemm
192        5    404496650      4025972  dgemm
192        6    404463546      4242048  dgemm
192       11    404951012      3801016  dgemm
192       10    405303516      3492280  dgemm
192       15    404494280      4314264  dgemm
192        8    405723548      3372596  dgemm
192       13    406261976      3399968  dgemm
192       14    406525644      3389496  dgemm
192        9    406567596      3358452  dgemm
192       12    407367124      3428520  dgemm
192        4    407652430      3351456  dgemm
192        1    408380074      3327796  dgemm
192        2    408378598      3355308  dgemm
192        7    408373154      3402276  dgemm
192        3    408488174      3333516  dgemm
192        6    408713090      3317840  dgemm
192       10    408803712      3402072  dgemm
192       11    408760424      3464764  dgemm
192        8    409104568      3344284  dgemm
192       15    408816404      3873632  dgemm
192       13    409675048      3386912  dgemm
192        9    409933204      3371004  dgemm
192       14    409921052      3386504  dgemm
192       12    410803148      3428104  dgemm
192        4    411010542      3875284  dgemm
192        1    411714102      3382580  dgemm
192        3    411827650      3335164  dgemm
192        6    412040446      3320756  dgemm
192        7    411787142      3662144  dgemm
192        2    411739658      3724264  dgemm
192       10    412221276      3374436  dgemm
192       11    412233508      3475884  dgemm
192        8    412458396      3311260  dgemm
192       15    412697628      3831412  dgemm
192        9    413311420      3341484  dgemm
192       14    413312152      3358072  dgemm
192       13    413073444      3787752  dgemm
192        5    413834434      3484380  dgemm
192       12    414235488      3367472  dgemm
192        1    415104378      3612004  dgemm
192        4    414893258      3834496  dgemm
192        6    415366738      3452632  dgemm
192        3    415167478      3712368  dgemm
192        2    415469026      3470860  dgemm
192       10    415605752      3405136  dgemm
192        8    415780848      3376676  dgemm
192        7    415454034      3828256  dgemm
192       11    415723888      3777172  dgemm
192        9    416660952      3370460  dgemm
192       13    416871372      3428984  dgemm
192       14    416676360      3635180  dgemm
192       15    416537012      3876576  dgemm
192        5    417328074      3410816  dgemm
192       12    417610896      3406596  dgemm
192        1    418731930      3389116  dgemm
192        6    418825398      3299772  dgemm
192        3    418887482      3430912  dgemm
192        2    418948310      3413664  dgemm
192       10    419025592      3368232  dgemm
192        8    419164984      3319656  dgemm
192        7    419291166      3320428  dgemm
192        4    418735802      3887012  dgemm
192       11    419509988      3537916  dgemm
